refinement_id,data_reduction_id,final_pdb_path,refinement_mtz_path,rfree,rwork,resolution_cut,crystal_id,run_id,a,b,c,alpha,beta,gamma,method,mtz_path,target_id,compound_drop_id,creator_id,compound_id,name,beamline,volume
57379,9772,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/l7p01_16/l7p01_16_001/l7p01_16_001_003_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/l7p01_16/l7p01_16_001/l7p01_16_001_003_aligned.mtz,0.2281,0.1921,1.7501962248394756,MPro_1000_0,1,113.70501128592994,53.31277835302907,44.646042682951304,90.00000000000001,103.07523712343483,90.0,DIALS-dials,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS/l7p01_16/l7p01_16_001/DataFiles/SARSCOV2_l7p01_16_001_free.mtz,MPro,1000,Susanne/Huijong,SPE_K92493880,AMPA-(S),p11,263.62449990331885
61171,33157,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/staraniso_dmpl2/l6p23_02/l6p23_02_001/l6p23_02_001_002_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/staraniso_dmpl2/l6p23_02/l6p23_02_001/l6p23_02_001_002_aligned.mtz,0.2415,0.2175,1.907,MPro_1002_0,1,112.709,52.936,44.723,90.0,102.666,90.0,staraniso,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/autoproc1/l6p23_02/l6p23_02_001/staraniso_alldata-unique.mtz,MPro,1002,Ilona/Huijong,SPE_K26169680,robalzotan,p11,260.34023779410114
57381,9774,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/l6p23_03/l6p23_03_001/l6p23_03_001_001_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/l6p23_03/l6p23_03_001/l6p23_03_001_001_aligned.mtz,0.2682,0.1979,2.9748345612494527,MPro_1003_0,1,112.42208094789484,52.944883502569716,44.46365637541238,89.99999999999997,102.40798943523878,90.0,DIALS-dials,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS/l6p23_03/l6p23_03_001/DataFiles/SARSCOV2_l6p23_03_001_free.mtz,MPro,1003,Ilona/Huijong,SPE_A67482312,4-P-PDOT,p11,258.47368342484685
61172,33158,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/staraniso_dmpl2/l6p23_04/l6p23_04_001/l6p23_04_001_001_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/staraniso_dmpl2/l6p23_04/l6p23_04_001/l6p23_04_001_001_aligned.mtz,0.2395,0.2113,1.957,MPro_1004_0,1,112.233,52.834,44.768,90.0,102.663,90.0,staraniso,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/autoproc1/l6p23_04/l6p23_04_001/staraniso_alldata-unique.mtz,MPro,1004,Ilona/Huijong,SPE_A17453586,MDL-72832,p11,259.0046237165446
57383,9776,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/l6p23_05/l6p23_05_001/l6p23_05_001_003_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/l6p23_05/l6p23_05_001/l6p23_05_001_003_aligned.mtz,0.2179,0.1895,1.469575329909892,MPro_1005_0,1,113.38594564336447,53.34510917741019,44.66296592055678,89.99999999999997,103.00757066324502,90.00000000000001,DIALS-dials,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS/l6p23_05/l6p23_05_001/DataFiles/SARSCOV2_l6p23_05_001_free.mtz,MPro,1005,Ilona/Huijong,SPE_A60832661,CPP,p11,263.2158727439205
61173,33160,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/staraniso_dmpl2/l6p23_06/l6p23_06_001/l6p23_06_001_001_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/staraniso_dmpl2/l6p23_06/l6p23_06_001/l6p23_06_001_001_aligned.mtz,0.2225,0.2011,1.902,MPro_1006_0,1,113.046,53.199,44.932,90.0,102.742,90.0,staraniso,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/autoproc1/l6p23_06/l6p23_06_001/staraniso_alldata-unique.mtz,MPro,1006,Ilona/Huijong,SPE_K53720352,cinalukast,p11,263.5634626147662
53433,13555,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_1p7A_dmpl2/l6p23_08/l6p23_08_001/l6p23_08_001_001_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_1p7A_dmpl2/l6p23_08/l6p23_08_001/l6p23_08_001_001_aligned.mtz,0.2687,0.2337,1.70009492053954,MPro_1008_0,1,113.00110505578895,53.05537767321913,44.70493275349265,90.00000000000001,103.00705089639162,90.0,DIALS_1p7A-dials,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_1p7A/l6p23_08/l6p23_08_001/DataFiles/SARSCOV2_l6p23_08_001_free.mtz,MPro,1008,Ilona/Huijong,SPE_K57304726,PRE-084,p11,261.14345010555314
57385,9780,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/l6p23_10/l6p23_10_001/l6p23_10_001_003_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/l6p23_10/l6p23_10_001/l6p23_10_001_003_aligned.mtz,0.2108,0.1817,1.4201118887854183,MPro_1010_0,1,113.03033050183569,53.12000308408139,44.642397224273715,90.00000000000003,102.98113564357419,89.99999999999997,DIALS-dials,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS/l6p23_10/l6p23_10_001/DataFiles/SARSCOV2_l6p23_10_001_free.mtz,MPro,1010,Ilona/Huijong,SPE_K37561857,zardaverine,p11,261.19058388453453
57386,9781,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/l6p23_11/l6p23_11_001/l6p23_11_001_002_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/l6p23_11/l6p23_11_001/l6p23_11_001_002_aligned.mtz,0.2173,0.191,2.038897932213587,MPro_1011_0,1,112.36270335139008,52.67402235031187,44.63176875301618,90.00000000000001,102.632748881905,89.99999999999997,DIALS-dials,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS/l6p23_11/l6p23_11_001/DataFiles/SARSCOV2_l6p23_11_001_free.mtz,MPro,1011,Ilona/Huijong,SPE_K94623186,RWJ-50271,p11,257.76264389085395
57387,9782,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/l6p23_13/l6p23_13_001/l6p23_13_001_003_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/l6p23_13/l6p23_13_001/l6p23_13_001_003_aligned.mtz,0.202,0.18,1.3797334010276783,MPro_1013_0,1,112.82868290496766,53.03139798943179,44.730019267344346,90.0,102.87615214931182,90.0,DIALS-dials,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS/l6p23_13/l6p23_13_001/DataFiles/SARSCOV2_l6p23_13_001_free.mtz,MPro,1013,Ilona/Huijong,SPE_K73276278,MCOPPB,p11,260.91032862262034
