Chrom.1		Chrom.1 (1)		Chrom.1 (2)		Chrom.1 (3)		Chrom.1 (4)		Chrom.1 (5)		Chrom.1 (6)		Chrom.1 (7)		Chrom.1 (8)		Chrom.1 (9)		
UV		UV		UV		UV		UV		UV		UV		UV		UV		UV		
ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	
0.001	0.2393105	0	-1.898323	0.001	-1.84215	0.001	-1.827042	0	-1.799918	0	0.02197927	0.001	0.0205356	0.001	0.04716146	0.001	0.08439921	0	0.09923767	
0.002	0.2386252	0.002	-1.898024	0.002	-1.842397	0.002	-1.829106	0.002	-1.800348	0.002	0.0221994	0.002	0.01981698	0.002	0.04704636	0.002	0.08316626	0.002	0.09904558	
0.003	0.2380465	0.003	-1.897552	0.003	-1.841928	0.003	-1.83023	0.003	-1.800301	0.003	0.02277476	0.003	0.01965691	0.003	0.04754358	0.003	0.08267781	0.003	0.09876949	
0.005	0.2376361	0.004	-1.8973	0.005	-1.842641	0.005	-1.830906	0.004	-1.800422	0.004	0.02305462	0.005	0.02011146	0.005	0.04815173	0.005	0.08248153	0.004	0.09844898	
0.006	0.2376065	0.006	-1.896428	0.006	-1.843686	0.006	-1.83162	0.006	-1.801191	0.006	0.02262642	0.006	0.01978363	0.006	0.04919789	0.006	0.08266784	0.006	0.09791867	
0.007	0.2372068	0.007	-1.89611	0.007	-1.843622	0.007	-1.832443	0.007	-1.801629	0.007	0.02178887	0.007	0.01969747	0.007	0.04970143	0.007	0.08253391	0.007	0.09788077	
0.009	0.237102	0.008	-1.895471	0.009	-1.843686	0.009	-1.833519	0.008	-1.801744	0.008	0.02182563	0.009	0.01967469	0.009	0.04995912	0.009	0.08227164	0.008	0.09847436	
0.01	0.2364469	0.01	-1.895308	0.01	-1.843675	0.01	-1.833733	0.01	-1.802213	0.01	0.02265258	0.01	0.0197384	0.01	0.05025348	0.01	0.08218168	0.01	0.0987715	
