Chrom.1		Chrom.1 (1)		Chrom.1 (2)		Chrom.1 (3)		Chrom.1 (4)		Chrom.1 (5)		
UV		UV		UV		UV		UV		UV		
ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	
0.001	0.09210071	0.001	0.1282065	0.001	0.1515234	0.001	0.1324274	0	0.135609	0.001	0.1253417	
0.002	0.0940728	0.002	0.1284053	0.002	0.1519661	0.002	0.1330174	0.002	0.1361945	0.002	0.1253973	
0.003	0.09533045	0.003	0.1283516	0.003	0.1512166	0.003	0.1330657	0.003	0.1365711	0.003	0.1252522	
0.005	0.09614068	0.005	0.1284424	0.005	0.1503786	0.005	0.1330692	0.004	0.1373834	0.005	0.125096	
0.006	0.09698933	0.006	0.1293917	0.006	0.1497629	0.006	0.1340703	0.006	0.1380581	0.006	0.124669	
0.007	0.09736368	0.007	0.1296829	0.007	0.1492624	0.007	0.1349179	0.007	0.138419	0.007	0.1241577	
0.009	0.09868884	0.009	0.1294155	0.009	0.1490819	0.009	0.135879	0.008	0.1388261	0.009	0.1235692	
0.01	0.0997841	0.01	0.1295529	0.01	0.1489764	0.01	0.1365985	0.01	0.139028	0.01	0.1234175	
0.011	0.1002642	0.011	0.1289849	0.011	0.147953	0.011	0.1377174	0.011	0.1394506	0.011	0.1229825	
0.013	0.1007873	0.013	0.1297616	0.013	0.1473442	0.013	0.1376179	0.012	0.139748	0.013	0.1232888	
0.014	0.1014643	0.014	0.1297131	0.014	0.1468997	0.014	0.1380527	0.014	0.1397694	0.014	0.1219286	
0.015	0.1028954	0.015	0.1291181	0.015	0.1468772	0.015	0.1384192	0.015	0.1400329	0.015	0.1210565	
0.017	0.1033608	0.017	0.1293137	0.017	0.146903	0.017	0.1383224	0.016	0.1408132	0.017	0.1206961	
0.018	0.1037051	0.018	0.1295706	0.018	0.1462033	0.018	0.1389306	0.018	0.1411522	0.018	0.1204694	
0.019	0.1046716	0.019	0.1303118	0.019	0.1458457	0.019	0.1391658	0.019	0.1416449	0.019	0.1202087	
0.021	0.1055119	0.021	0.1300594	0.021	0.1457978	0.021	0.139011	0.02	0.142238	0.021	0.1199803	
0.022	0.1069223	0.022	0.1302037	0.022	0.1449218	0.022	0.1390645	0.022	0.142934	0.022	0.1201667	
0.023	0.1070362	0.023	0.1303564	0.023	0.1440567	0.023	0.1389988	0.023	0.1434793	0.023	0.1195684	
0.025	0.1072213	0.024	0.129199	0.025	0.1435667	0.025	0.1385622	0.024	0.1433108	0.025	0.1193348	
0.026	0.1071904	0.026	0.1290988	0.026	0.1436819	0.026	0.138	0.026	0.142583	0.026	0.119919	
0.027	0.1067924	0.027	0.1294661	0.027	0.1441526	0.027	0.1369516	0.027	0.1421644	0.027	0.1194599	
0.029	0.1065826	0.028	0.1299744	0.029	0.1439695	0.029	0.1364611	0.028	0.1418217	0.029	0.1184236	
0.03	0.1065636	0.03	0.129668	0.03	0.1440226	0.03	0.136387	0.03	0.1415002	0.03	0.1188539	
0.031	0.1060188	0.031	0.1292026	0.031	0.1437371	0.031	0.1364969	0.031	0.1412451	0.031	0.1193113	
0.032	0.1069576	0.032	0.1294936	0.032	0.1429997	0.032	0.1359706	0.032	0.1414069	0.032	0.1198935	
0.034	0.1077825	0.034	0.1297627	0.034	0.1431515	0.034	0.1351357	0.034	0.140995	0.034	0.1212272	
0.035	0.107764	0.035	0.1300392	0.035	0.1426679	0.035	0.1352445	0.035	0.1401781	0.035	0.121655	
0.036	0.1079511	0.036	0.1301	0.036	0.1429171	0.036	0.1345322	0.036	0.1397305	0.036	0.1212492	
0.038	0.1078954	0.038	0.129814	0.038	0.1433271	0.038	0.1341301	0.038	0.1391561	0.038	0.1213041	
0.039	0.1075538	0.039	0.1306939	0.039	0.1432039	0.039	0.1347488	0.039	0.1383809	0.039	0.12051	
0.04	0.107256	0.04	0.1309587	0.04	0.1432538	0.04	0.1343168	0.04	0.1378724	0.04	0.120403	
0.042	0.1070045	0.042	0.1306202	0.042	0.1424193	0.042	0.1343397	0.042	0.1372412	0.042	0.1205691	
0.043	0.1063581	0.043	0.1311568	0.043	0.1413599	0.043	0.1341626	0.043	0.1373481	0.043	0.1198692	
0.044	0.1063107	0.044	0.1315036	0.044	0.1412861	0.044	0.1339644	0.044	0.1366392	0.044	0.1207567	
0.046	0.1061377	0.046	0.1313649	0.046	0.1409172	0.046	0.132725	0.046	0.136127	0.046	0.1204646	
0.047	0.1047874	0.047	0.1307143	0.047	0.1395226	0.047	0.1322465	0.047	0.1347344	0.047	0.1190053	
0.048	0.1038704	0.048	0.1300326	0.048	0.1384104	0.048	0.13138	0.048	0.1340014	0.048	0.1174951	
0.05	0.1027906	0.05	0.1293861	0.05	0.1378241	0.05	0.1310729	0.05	0.1322493	0.05	0.1162635	
0.051	0.1013608	0.051	0.1280997	0.051	0.136722	0.051	0.1305645	0.051	0.1299578	0.051	0.1158587	
0.052	0.09988647	0.052	0.1274392	0.052	0.1358253	0.052	0.1300897	0.052	0.1288282	0.052	0.1146687	
0.054	0.09762117	0.054	0.1265388	0.054	0.1347146	0.054	0.1302537	0.054	0.1275022	0.054	0.1138143	
0.055	0.09581818	0.055	0.1251443	0.055	0.1338209	0.055	0.1298288	0.055	0.1263506	0.055	0.1125145	
0.056	0.09393726	0.056	0.1230023	0.056	0.1327289	0.056	0.128679	0.056	0.1256453	0.056	0.1113596	
0.058	0.09191658	0.058	0.1219166	0.058	0.1315397	0.058	0.1266962	0.058	0.1237044	0.058	0.1117522	
0.059	0.08949734	0.059	0.1219523	0.059	0.1294981	0.059	0.1235112	0.059	0.122235	0.059	0.1122415	
0.06	0.08631882	0.06	0.1211278	0.06	0.1278422	0.06	0.1210093	0.06	0.1212898	0.06	0.1111319	
0.062	0.08304039	0.062	0.1191331	0.062	0.1267912	0.062	0.1174296	0.062	0.1199296	0.062	0.1101069	
0.063	0.07947662	0.063	0.1164331	0.063	0.1246323	0.063	0.1130361	0.063	0.1181761	0.063	0.1088548	
0.064	0.0757507	0.064	0.114144	0.064	0.1213118	0.064	0.108271	0.064	0.1158715	0.064	0.1078703	
0.066	0.07105824	0.066	0.1107412	0.066	0.1174276	0.066	0.101549	0.066	0.1136019	0.066	0.1065237	
0.067	0.064275	0.067	0.1058145	0.067	0.1112668	0.067	0.09403533	0.067	0.1113191	0.067	0.1047721	
0.068	0.05592517	0.068	0.1002396	0.068	0.1045676	0.068	0.08557506	0.068	0.1080417	0.068	0.1030662	
0.07	0.04685555	0.07	0.09298837	0.07	0.09691285	0.07	0.0751235	0.07	0.1040203	0.07	0.1008532	
0.071	0.03631984	0.071	0.08416906	0.071	0.08797196	0.071	0.06410245	0.071	0.09806633	0.071	0.09829403	
