Chrom.1		Chrom.1 (1)		Chrom.1 (2)		Chrom.1 (3)		Chrom.1 (4)		Chrom.1 (5)		
UV		UV		UV		UV		UV		UV		
ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	
0.001	2.100994	0	2.221758	0.001	2.201314	0.001	2.243521	0.001	2.247488	0.001	2.273265	
0.002	2.100179	0.002	2.221728	0.002	2.202328	0.002	2.243359	0.002	2.248059	0.002	2.273707	
0.003	2.099866	0.003	2.221101	0.003	2.203843	0.003	2.242972	0.003	2.248994	0.003	2.273589	
0.005	2.09971	0.004	2.220838	0.005	2.20491	0.005	2.242719	0.005	2.249775	0.005	2.273749	
0.006	2.098577	0.006	2.221066	0.006	2.205824	0.006	2.242996	0.006	2.251074	0.006	2.274116	
0.007	2.097504	0.007	2.220291	0.007	2.207158	0.007	2.24303	0.007	2.251499	0.007	2.273861	
0.009	2.096961	0.008	2.220126	0.009	2.208426	0.009	2.243181	0.009	2.252228	0.009	2.273496	
0.01	2.096526	0.01	2.21965	0.01	2.209361	0.01	2.242751	0.01	2.251831	0.01	2.274011	
0.011	2.095476	0.011	2.218409	0.011	2.21016	0.011	2.243555	0.011	2.252459	0.011	2.275146	
0.013	2.095063	0.012	2.218116	0.013	2.210982	0.013	2.244112	0.013	2.252955	0.013	2.275299	
0.014	2.093737	0.014	2.217707	0.014	2.211697	0.014	2.243507	0.014	2.254361	0.014	2.275098	
0.015	2.092987	0.015	2.217546	0.015	2.212324	0.015	2.243526	0.015	2.255394	0.015	2.274826	
0.017	2.093177	0.016	2.217386	0.017	2.213729	0.017	2.243574	0.017	2.255969	0.017	2.274972	
0.018	2.092462	0.018	2.216796	0.018	2.214557	0.018	2.242834	0.018	2.256038	0.018	2.275692	
0.019	2.09174	0.019	2.216053	0.019	2.215439	0.019	2.242658	0.019	2.25589	0.019	2.275775	
0.02	2.091311	0.02	2.216444	0.021	2.216172	0.021	2.242043	0.021	2.256187	0.021	2.274955	
0.022	2.091354	0.022	2.217132	0.022	2.217005	0.022	2.241489	0.022	2.256879	0.022	2.275182	
0.023	2.090482	0.023	2.217386	0.023	2.216427	0.023	2.239808	0.023	2.256606	0.023	2.274853	
0.024	2.089395	0.024	2.217869	0.025	2.216655	0.025	2.239629	0.025	2.255272	0.025	2.274084	
0.026	2.089788	0.026	2.218072	0.026	2.216511	0.026	2.239687	0.026	2.256089	0.026	2.273169	
0.027	2.09009	0.027	2.21725	0.027	2.21612	0.027	2.240022	0.027	2.256181	0.027	2.272968	
0.028	2.089671	0.028	2.216676	0.029	2.21575	0.029	2.239546	0.028	2.254974	0.029	2.273521	
0.03	2.089828	0.03	2.216363	0.03	2.214803	0.03	2.23893	0.03	2.255141	0.03	2.273226	
0.031	2.088845	0.031	2.215658	0.031	2.214808	0.031	2.238071	0.031	2.255124	0.031	2.273258	
0.032	2.088404	0.032	2.215759	0.032	2.214699	0.033	2.2392	0.032	2.254332	0.033	2.272122	
0.034	2.088613	0.034	2.215452	0.034	2.214086	0.034	2.238441	0.034	2.253828	0.034	2.27228	
0.035	2.087028	0.035	2.214734	0.035	2.214257	0.035	2.237772	0.035	2.253625	0.035	2.272042	
0.036	2.086604	0.036	2.214046	0.036	2.21497	0.036	2.237937	0.036	2.253122	0.037	2.271902	
0.038	2.087055	0.038	2.214528	0.038	2.214884	0.038	2.237874	0.038	2.252731	0.038	2.271923	
0.039	2.088762	0.039	2.213516	0.039	2.213936	0.039	2.237239	0.039	2.251662	0.039	2.271394	
0.04	2.088858	0.04	2.212765	0.04	2.213129	0.04	2.235711	0.04	2.250601	0.041	2.270659	
0.042	2.087804	0.042	2.212127	0.042	2.212944	0.042	2.235313	0.042	2.250448	0.042	2.270019	
0.043	2.087549	0.043	2.211369	0.043	2.213017	0.043	2.234459	0.043	2.249778	0.043	2.26989	
0.044	2.087443	0.044	2.210305	0.044	2.212343	0.044	2.234366	0.044	2.248654	0.045	2.268852	
0.046	2.087555	0.046	2.209985	0.046	2.212231	0.046	2.23411	0.046	2.24814	0.046	2.267519	
0.047	2.087632	0.047	2.208553	0.047	2.211375	0.047	2.233583	0.047	2.246702	0.047	2.266618	
0.048	2.08679	0.048	2.207216	0.048	2.210152	0.048	2.232813	0.048	2.246032	0.049	2.266265	
0.05	2.085895	0.05	2.205476	0.05	2.210117	0.05	2.23221	0.05	2.244289	0.05	2.264196	
0.051	2.086202	0.051	2.204122	0.051	2.209569	0.051	2.231552	0.051	2.242755	0.051	2.262433	
0.052	2.086251	0.052	2.2031	0.052	2.209427	0.052	2.231402	0.052	2.241579	0.053	2.261495	
0.054	2.085746	0.054	2.202222	0.054	2.209321	0.054	2.229819	0.054	2.240113	0.054	2.260828	
0.055	2.085641	0.055	2.200875	0.055	2.208974	0.055	2.229001	0.055	2.239053	0.055	2.260211	
0.056	2.084565	0.056	2.199179	0.056	2.208349	0.056	2.228806	0.056	2.23785	0.057	2.25924	
0.058	2.084075	0.058	2.198021	0.058	2.20743	0.058	2.228065	0.058	2.236261	0.058	2.258002	
0.059	2.083336	0.059	2.197201	0.059	2.2066	0.059	2.227519	0.059	2.234725	0.059	2.256474	
0.06	2.082211	0.06	2.195514	0.06	2.204462	0.06	2.226617	0.06	2.233818	0.061	2.254695	
0.062	2.080995	0.062	2.193952	0.062	2.201882	0.062	2.226149	0.062	2.233771	0.062	2.25275	
0.063	2.080292	0.063	2.191754	0.063	2.20087	0.063	2.225777	0.063	2.232994	0.063	2.25134	
0.064	2.079591	0.064	2.189015	0.064	2.199612	0.064	2.224708	0.064	2.231451	0.065	2.250309	
0.066	2.079446	0.066	2.186042	0.066	2.198387	0.066	2.223127	0.066	2.229617	0.066	2.249185	
0.067	2.078305	0.067	2.182482	0.067	2.197255	0.067	2.222342	0.067	2.227885	0.067	2.246031	
0.068	2.076971	0.068	2.178748	0.068	2.196283	0.068	2.220516	0.068	2.225456	0.069	2.244194	
0.07	2.076072	0.07	2.174867	0.07	2.19401	0.07	2.219277	0.07	2.222838	0.07	2.242145	
0.071	2.075285	0.071	2.169424	0.071	2.191189	0.071	2.217334	0.071	2.219606	0.071	2.238684	
0.072	2.074784	0.072	2.162327	0.072	2.187987	0.072	2.214532	0.072	2.215576	0.072	2.234848	
0.074	2.074054	0.074	2.155502	0.074	2.183844	0.074	2.212011	0.074	2.211249	0.074	2.230355	
0.075	2.073656	0.075	2.147787	0.075	2.179586	0.075	2.208355	0.075	2.206711	0.075	2.226247	
0.076	2.07247	0.076	2.138986	0.076	2.174979	0.076	2.204808	0.076	2.202629	0.076	2.220722	
0.078	2.071923	0.077	2.129419	0.078	2.169557	0.078	2.199216	0.078	2.197494	0.078	2.214553	
