Chrom.1		
UV		
ml	mAU	
0	0.03087678	
0.002	0.03120754	
0.003	0.03061518	
0.004	0.03064231	
0.006	0.0306154	
0.007	0.03029968	
0.008	0.03058806	
0.01	0.03103883	
0.011	0.03143426	
0.012	0.03131091	
0.014	0.03101635	
0.015	0.03117046	
0.016	0.0317106	
0.018	0.03170715	
0.019	0.03138427	
0.02	0.0317322	
0.022	0.0321059	
0.023	0.03227781	
0.024	0.03194057	
0.026	0.03205016	
0.027	0.03232134	
0.028	0.03197384	
0.03	0.03181175	
0.031	0.03195383	
0.032	0.03264942	
0.034	0.03327149	
0.035	0.03384035	
0.036	0.03347285	
0.038	0.03262078	
0.039	0.03224754	
0.04	0.03196159	
0.042	0.03208996	
0.043	0.0325272	
0.044	0.03223616	
0.046	0.03293471	
0.047	0.03277735	
0.048	0.03313232	
0.05	0.03380587	
0.051	0.03324898	
0.052	0.03319912	
0.054	0.03280266	
0.055	0.03305106	
0.056	0.0330083	
0.058	0.03169141	
0.059	0.03079441	
0.06	0.03023524	
0.062	0.02937956	
0.063	0.02828502	
0.064	0.02714457	
0.066	0.0267862	
0.067	0.02519198	
0.068	0.02391621	
0.07	0.02306591	
0.071	0.02137191	
0.072	0.02037228	
0.073	0.01931265	
0.075	0.0171474	
0.076	0.01498246	
0.077	0.01273404	
0.079	0.0113949	
0.08	0.01019532	
0.081	0.007962741	
0.083	0.005477578	
0.084	0.00369246	
0.085	0.002319524	
0.087	0.0002154242	
0.088	-0.00174942	
0.089	-0.003315302	
0.091	-0.004288739	
0.092	-0.005258341	
0.093	-0.006741368	
0.095	-0.00855022	
0.096	-0.009554454	
0.097	-0.01108884	
0.099	-0.01284189	
0.1	-0.01494266	
0.101	-0.0171905	
0.103	-0.01900888	
0.104	-0.01985752	
0.105	-0.02022548	
0.107	-0.02124413	
0.108	-0.02247983	
0.109	-0.02361741	
0.111	-0.02472347	
0.112	-0.0264528	
0.113	-0.02767578	
0.115	-0.02891902	
0.116	-0.03018587	
0.117	-0.03055443	
0.119	-0.03074553	
0.12	-0.03060322	
0.121	-0.0302565	
0.123	-0.02997158	
0.124	-0.03023261	
0.125	-0.03004782	
0.127	-0.0292729	
0.128	-0.02787166	
0.129	-0.02725082	
0.131	-0.02649449	
0.132	-0.02622204	
0.133	-0.02527739	
0.135	-0.02404608	
0.136	-0.02379609	
0.137	-0.02367834	
0.139	-0.02312316	
0.14	-0.02242275	
0.141	-0.02133441	
0.143	-0.02061674	
0.144	-0.01999402	
0.145	-0.0194697	
0.147	-0.0187607	
0.148	-0.01772358	
0.149	-0.01588411	
0.151	-0.01466857	
0.152	-0.01368784	
0.153	-0.01221876	
0.155	-0.01150256	
0.156	-0.01183506	
0.157	-0.01203948	
0.159	-0.01149287	
0.16	-0.01071265	
0.161	-0.009728118	
0.163	-0.009164597	
0.164	-0.008793199	
0.165	-0.008316915	
0.167	-0.007989806	
0.168	-0.007441998	
0.169	-0.00655263	
0.171	-0.005667287	
0.172	-0.005142775	
0.173	-0.004593901	
0.175	-0.004374524	
0.176	-0.004168614	
0.177	-0.003813333	
0.179	-0.00337494	
0.18	-0.00283284	
0.181	-0.002193893	
0.183	-0.001723527	
0.184	-0.001801068	
0.185	-0.002088426	
0.187	-0.002609129	
0.188	-0.003844579	
0.189	-0.004645944	
0.191	-0.004310118	
0.192	-0.004049215	
0.193	-0.003696137	
0.195	-0.003152585	
0.196	-0.002108836	
0.197	-0.001397013	
0.199	-0.001270343	
0.2	-0.001365108	
0.201	-0.002333539	
0.203	-0.001876028	
0.204	-9.623898E-05	
0.205	0.0004773769	
0.207	0.001403865	
0.208	0.002447114	
0.209	0.003419593	
0.211	0.004445251	
0.212	0.005259755	
0.213	0.005921469	
0.214	0.0064122	
0.216	0.006426067	
0.217	0.006584116	
0.218	0.00701139	
0.22	0.007308709	
0.221	0.008563075	
0.222	0.009973797	
0.224	0.01160437	
0.225	0.01249981	
0.226	0.01307831	
0.228	0.01439702	
0.229	0.01548426	
0.23	0.01698865	
0.232	0.01896892	
0.233	0.02080893	
0.234	0.02221321	
0.236	0.02333534	
0.237	0.02418978	
0.238	0.02472147	
0.24	0.0252431	
0.241	0.0257681	
0.242	0.02675523	
0.244	0.02823278	
0.245	0.02914679	
0.246	0.02975899	
0.248	0.03084092	
0.249	0.03197331	
0.25	0.03295404	
0.252	0.03420161	
0.253	0.03545364	
0.254	0.03660154	
0.256	0.03765349	
0.257	0.03888271	
0.258	0.04059665	
0.26	0.04164123	
0.261	0.04186159	
0.262	0.04206147	
0.264	0.0424406	
0.265	0.0431385	
0.266	0.04394442	
0.268	0.04486624	
0.269	0.04571455	
0.27	0.04570894	
0.272	0.04610354	
0.273	0.04666398	
0.274	0.04682552	
0.276	0.04705414	
0.277	0.04693408	
0.278	0.04670947	
0.28	0.04718623	
0.281	0.04874762	
0.282	0.0500327	
0.284	0.05023248	
0.285	0.05081103	
0.286	0.05116915	
0.288	0.05063076	
0.289	0.05120762	
0.29	0.05129799	
0.292	0.05123309	
0.293	0.0516698	
0.294	0.05157014	
0.296	0.05152852	
0.297	0.05168894	
0.298	0.0519901	
0.3	0.05241125	
0.301	0.05329125	
0.302	0.05415018	
0.304	0.05519313	
0.305	0.05591137	
0.306	0.05634161	
0.308	0.05697824	
0.309	0.05703991	
0.31	0.05663171	
0.312	0.05669089	
0.313	0.05685522	
0.314	0.05670258	
0.316	0.05647646	
0.317	0.05681277	
0.318	0.05703693	
0.32	0.05687961	
0.321	0.05711291	
0.322	0.05707591	
0.324	0.05668817	
0.325	0.05698487	
0.326	0.05658908	
0.328	0.05611386	
0.329	0.05557982	
0.33	0.0555029	
0.332	0.05532989	
0.333	0.0557454	
0.334	0.05578392	
0.336	0.05520941	
0.337	0.05494469	
0.338	0.05490515	
0.34	0.05461824	
0.341	0.053479	
0.342	0.05331267	
0.344	0.05337303	
0.345	0.05383847	
0.346	0.05356802	
0.348	0.05292687	
0.349	0.05223956	
0.35	0.05249452	
0.352	0.05192347	
0.353	0.05176012	
0.354	0.0513496	
0.355	0.05084097	
0.357	0.05005168	
0.358	0.0489673	
0.359	0.0485133	
0.361	0.04791113	
0.362	0.04733066	
0.363	0.0466756	
0.365	0.04540354	
0.366	0.04491741	
0.367	0.04385469	
0.369	0.04274643	
0.37	0.04143352	
0.371	0.04092361	
0.373	0.04103946	
0.374	0.04026867	
0.375	0.03924423	
0.377	0.0386472	
0.378	0.03822204	
0.379	0.03885069	
0.381	0.0387315	
0.382	0.03847551	
0.383	0.03764495	
