Chrom.1 (5)		Chrom.1		Chrom.1 (1)		Chrom.1 (2)		Chrom.1 (3)		Chrom.1 (4)		
UV		UV		UV		UV		UV		UV		
ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	
0.001	-0.06182012	0.001	-0.3616211	0.001	-0.1590146	0	-0.1226476	0.001	-0.1101365	0.001	-0.08834948	
0.002	-0.06137164	0.002	-0.3617415	0.002	-0.1585226	0.002	-0.1223287	0.002	-0.1086076	0.002	-0.08831421	
0.003	-0.06217931	0.003	-0.3618598	0.003	-0.1582787	0.003	-0.1213738	0.003	-0.1079191	0.003	-0.08843611	
0.005	-0.06206721	0.005	-0.3620115	0.005	-0.1582862	0.004	-0.1212209	0.005	-0.1077326	0.005	-0.08873	
0.006	-0.06256443	0.006	-0.3616569	0.006	-0.1586921	0.006	-0.1209186	0.006	-0.1059088	0.006	-0.0887839	
0.007	-0.06285658	0.007	-0.3617701	0.007	-0.1583392	0.007	-0.1212657	0.007	-0.1051967	0.007	-0.08816782	
0.009	-0.06301165	0.009	-0.3619612	0.009	-0.1582815	0.008	-0.1218074	0.009	-0.1048505	0.009	-0.08835278	
0.01	-0.06301701	0.01	-0.3618217	0.01	-0.1579099	0.01	-0.1216853	0.01	-0.1042631	0.01	-0.08845221	
0.011	-0.06306399	0.011	-0.3619319	0.011	-0.1574776	0.011	-0.121746	0.011	-0.1034712	0.011	-0.0887251	
0.013	-0.0636647	0.013	-0.3622445	0.013	-0.157639	0.012	-0.1222505	0.013	-0.1037187	0.013	-0.08913415	
0.014	-0.06349918	0.014	-0.3622621	0.014	-0.1576029	0.014	-0.1223929	0.014	-0.1031988	0.014	-0.08954602	
0.015	-0.06349385	0.015	-0.362107	0.015	-0.1576972	0.015	-0.1227879	0.015	-0.1022266	0.015	-0.09044076	
0.017	-0.06319518	0.017	-0.3619997	0.017	-0.1577467	0.016	-0.121701	0.017	-0.1020954	0.017	-0.09106087	
0.018	-0.0630135	0.018	-0.3614706	0.018	-0.1577548	0.018	-0.1214362	0.018	-0.1010732	0.018	-0.09076064	
0.019	-0.06306439	0.019	-0.3619799	0.019	-0.1571889	0.019	-0.121429	0.019	-0.09988103	0.019	-0.09098854	
0.021	-0.06316801	0.021	-0.36271	0.021	-0.1570036	0.02	-0.1215536	0.021	-0.09850638	0.021	-0.09114896	
0.022	-0.0622779	0.022	-0.3625984	0.022	-0.1572288	0.022	-0.1222757	0.022	-0.09720314	0.022	-0.09147517	
0.023	-0.06255555	0.023	-0.3616285	0.023	-0.1563878	0.023	-0.1218918	0.023	-0.09642842	0.023	-0.09168313	
0.025	-0.06257725	0.025	-0.3630678	0.025	-0.1564695	0.024	-0.1232128	0.025	-0.09625427	0.025	-0.09225456	
0.026	-0.06221899	0.026	-0.3635367	0.026	-0.1568998	0.026	-0.1234153	0.026	-0.09699187	0.026	-0.09202705	
0.027	-0.06216044	0.027	-0.3641962	0.027	-0.1576196	0.027	-0.1229531	0.027	-0.09775223	0.027	-0.09200955	
0.028	-0.06319486	0.028	-0.3651597	0.028	-0.1572573	0.028	-0.1232272	0.029	-0.09764796	0.029	-0.09164816	
0.03	-0.06227823	0.03	-0.3653373	0.03	-0.1568213	0.03	-0.1233307	0.03	-0.09700591	0.03	-0.09144372	
0.031	-0.06189426	0.031	-0.3655684	0.031	-0.1572578	0.031	-0.124076	0.031	-0.09591004	0.031	-0.0927534	
0.032	-0.06113734	0.032	-0.3654309	0.032	-0.1570734	0.032	-0.1244224	0.032	-0.09504529	0.032	-0.09311502	
0.034	-0.06155207	0.034	-0.3657266	0.034	-0.1574286	0.034	-0.1246383	0.034	-0.09419676	0.034	-0.09264731	
0.035	-0.06115904	0.035	-0.3658547	0.035	-0.1572447	0.035	-0.1240049	0.035	-0.09402855	0.035	-0.09297144	
0.036	-0.0610847	0.036	-0.3654734	0.036	-0.1575223	0.036	-0.1249241	0.036	-0.09435151	0.036	-0.09263447	
0.038	-0.06113764	0.038	-0.3652612	0.038	-0.1578061	0.038	-0.1252637	0.038	-0.09455977	0.038	-0.09281702	
0.039	-0.06126832	0.039	-0.365562	0.039	-0.1574217	0.039	-0.1251198	0.039	-0.09563511	0.039	-0.09313832	
0.04	-0.06221419	0.04	-0.3666109	0.04	-0.1569338	0.04	-0.1254899	0.04	-0.09742366	0.04	-0.09347773	
0.042	-0.06245441	0.042	-0.3673072	0.042	-0.1570123	0.042	-0.1256468	0.042	-0.09759632	0.042	-0.09422624	
0.043	-0.06337111	0.043	-0.3683375	0.043	-0.1570897	0.043	-0.125944	0.043	-0.09791305	0.043	-0.09511289	
0.044	-0.06357516	0.044	-0.3685601	0.044	-0.1570062	0.044	-0.1258146	0.044	-0.09868088	0.044	-0.0959031	
0.046	-0.06445322	0.046	-0.3691317	0.046	-0.1575541	0.046	-0.1256894	0.046	-0.09973288	0.046	-0.09719038	
0.047	-0.06499409	0.047	-0.3699425	0.047	-0.1585429	0.047	-0.125812	0.047	-0.1014966	0.047	-0.09714992	
0.048	-0.06593096	0.048	-0.3706596	0.048	-0.15759	0.048	-0.1264651	0.048	-0.1016586	0.048	-0.09726529	
0.05	-0.0666108	0.05	-0.371117	0.05	-0.1585632	0.05	-0.1276722	0.05	-0.10178	0.05	-0.09821433	
0.051	-0.06714477	0.051	-0.3720715	0.051	-0.1591576	0.051	-0.1288564	0.051	-0.1026374	0.051	-0.09861103	
0.052	-0.06866274	0.052	-0.3738495	0.052	-0.1605603	0.052	-0.1294414	0.052	-0.103492	0.052	-0.0987876	
0.054	-0.06945559	0.054	-0.3750477	0.054	-0.1612707	0.054	-0.1308514	0.054	-0.1039186	0.054	-0.09902937	
0.055	-0.07037842	0.055	-0.3764577	0.055	-0.1616068	0.055	-0.1316338	0.055	-0.1037242	0.055	-0.0998688	
0.056	-0.07026286	0.056	-0.3763244	0.056	-0.1618533	0.056	-0.132481	0.056	-0.1046739	0.056	-0.1017036	
0.058	-0.07034925	0.058	-0.377459	0.058	-0.1625188	0.058	-0.1341713	0.058	-0.1053993	0.058	-0.1031598	
0.059	-0.07055936	0.059	-0.3772151	0.059	-0.1632514	0.059	-0.1355496	0.059	-0.1063219	0.059	-0.1045719	
0.06	-0.07212792	0.06	-0.3779364	0.06	-0.163852	0.06	-0.1368675	0.06	-0.1074238	0.06	-0.1054858	
0.062	-0.07400384	0.062	-0.3786013	0.062	-0.1640595	0.062	-0.1389663	0.062	-0.108905	0.062	-0.1055298	
0.063	-0.07486889	0.063	-0.3798751	0.063	-0.1643741	0.063	-0.1408769	0.063	-0.1110653	0.063	-0.1064057	
0.064	-0.07516611	0.064	-0.3805979	0.064	-0.1651558	0.064	-0.1424199	0.064	-0.1124237	0.064	-0.1074204	
