Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
-0.025011	0.016641	-0.025011	17.099264	-0.025011	0	0.000222	""	-0.025011	"Method Settings"	-0.000419	"1.A.1"	0	-0.033439
-0.024516	0.102979	-0.024021	17.100765	-0.020058	0			-0.024925	"Equilibration"	0.100156	"Waste(Frac)"	0.000495	-0.033437
-0.024021	0.097741	-0.023031	17.10088	-0.015106	0			-0.005423	"Sample Application"	0.10813	"1.A.2"	0.00099	-0.033434
-0.023527	0.099027	-0.022042	17.101023	-0.010153	0			0.100656	"Elution"	0.308066	"1.A.3"	0.001484	-0.033432
-0.023032	0.099546	-0.021052	17.101269	-0.005201	0					0.508474	"1.A.4"	0.001979	-0.03343
-0.022537	0.098041	-0.020062	17.101122	-0.000248	0					0.708524	"1.A.5"	0.002474	-0.033428
-0.022042	0.097454	-0.019073	17.10041	0.004704	0					0.908582	"1.A.6"	0.002969	-0.033426
-0.021547	0.093761	-0.018083	17.108021	0.009657	0					1.108506	"1.A.7"	0.003463	-0.033424
-0.021053	0.093196	-0.017093	17.107416	0.014609	0					1.308446	"1.A.8"	0.003958	-0.033421
-0.020558	0.090423	-0.016104	17.107244	0.019562	0					1.508502	"1.A.9"	0.004453	-0.033419
-0.020063	0.084989	-0.015114	17.107483	0.024514	0					1.708554	"1.A.10"	0.004948	-0.033417
-0.019568	0.084664	-0.014124	17.108242	0.029466	0					1.908403	"1.A.11"	0.005442	-0.033415
-0.019074	0.087332	-0.013134	17.109314	0.034419	0					2.108435	"1.A.12"	0.005937	-0.033413
-0.018579	0.095976	-0.012145	17.10969	0.039371	0					2.308505	"1.B.1"	0.006432	-0.033411
-0.018084	0.093129	-0.011155	17.109455	0.044324	0					2.50856	"1.B.2"	0.006927	-0.033409
-0.017589	0.092578	-0.010165	17.108591	0.049276	0					2.708381	"1.B.3"	0.007422	-0.033406
-0.017095	0.088135	-0.009176	17.107445	0.054229	0					2.908425	"1.B.4"	0.007916	-0.033404
-0.0166	0.093181	-0.008186	17.105951	0.059181	0					3.046033	"Waste(Frac)"	0.008411	-0.033402
-0.016105	0.095517	-0.007196	17.104328	0.064134	0					3.046535	"Waste(Frac)"	0.008906	-0.0334
-0.01561	0.090453	-0.006207	17.102541	0.069086	0							0.009401	-0.033398
-0.015115	0.085437	-0.005217	17.100561	0.074039	0							0.009895	-0.033396
-0.014621	0.080886	-0.004227	17.09836	0.078991	0							0.01039	-0.033394
-0.014126	0.085574	-0.003237	17.095932	0.083944	0							0.010885	-0.033391
-0.013631	0.092043	-0.002248	17.093527	0.088896	0							0.01138	-0.033389
-0.013136	0.088345	-0.001258	17.091227	0.093849	0							0.011875	-0.033387
-0.012642	0.086557	-0.000268	17.08621	0.098801	0							0.012369	-0.033385
-0.012147	0.088883	0.000721	17.094286	0.103754	0							0.012864	-0.033382
-0.011652	0.090372	0.001711	17.094925	0.108706	0							0.013359	-0.03338
-0.011157	0.091768	0.002701	17.095425	0.113659	0							0.013854	-0.033378
-0.010663	0.091711	0.00369	17.095888	0.118611	0							0.014348	-0.033376
-0.010168	0.092432	0.00468	17.096472	0.123564	0							0.014843	-0.033373
-0.009673	0.094891	0.00567	17.097086	0.128516	0							0.015338	-0.033371
-0.009178	0.096568	0.00666	17.097788	0.133469	0							0.015833	-0.033369
-0.008683	0.093593	0.007649	17.098463	0.138421	0							0.016327	-0.033367
-0.008189	0.092095	0.008639	17.099148	0.143374	0							0.016822	-0.033365
-0.007694	0.092752	0.009629	17.099823	0.148326	0							0.017317	-0.033363
-0.007199	0.09329	0.010618	17.100512	0.153279	0							0.017812	-0.03336
-0.006704	0.052116	0.011608	17.101236	0.158231	0							0.018307	-0.033358
-0.00621	-0.000432	0.012598	17.10202	0.163184	0							0.018801	-0.033356
-0.005715	-0.000583	0.013587	17.10277	0.168136	0							0.019296	-0.033354
-0.00522	0.002194	0.014577	17.103558	0.173089	0							0.019791	-0.033352
-0.004725	0.004163	0.015567	17.104395	0.178041	0							0.020286	-0.03335
-0.00423	0.002298	0.016557	17.10524	0.182994	0							0.02078	-0.033348
-0.003736	0.003658	0.017546	17.106148	0.187946	0							0.021275	-0.033346
-0.003241	0.007844	0.018536	17.106945	0.192899	0							0.02177	-0.033344
-0.002746	0.010877	0.019526	17.107325	0.197851	0							0.022265	-0.033341
-0.002251	0.009116	0.020515	17.10725	0.202804	0							0.02276	-0.033339
-0.001757	0.006065	0.021505	17.106821	0.207756	0							0.023254	-0.033337
-0.001262	0.004978	0.022495	17.106081	0.212709	0							0.023749	-0.033335
-0.000767	0.003848	0.023484	17.105145	0.217661	0							0.024244	-0.033333
-0.000272	-0.001131	0.024474	17.104031	0.222614	0							0.024739	-0.033331
0.000222	-0.008693	0.025464	17.102737	0.227566	0							0.025233	-0.033329
0.000717	-0.003473	0.026454	17.101366	0.232519	0							0.025728	-0.033326
0.001212	-0.005633	0.027443	17.099939	0.237471	0							0.026223	-0.033324
0.001707	-0.008327	0.028433	17.09852	0.242424	0							0.026718	-0.033322
0.002202	-0.008499	0.029423	17.09724	0.247376	0							0.027212	-0.03332
0.002696	-0.009695	0.030412	17.096167	0.252329	0							0.027707	-0.033318
0.003191	-0.008918	0.031402	17.095278	0.257281	0							0.028202	-0.033315
0.003686	-0.00838	0.032392	17.094387	0.262234	0							0.028697	-0.033313
0.004181	-0.006899	0.033381	17.093748	0.267186	0							0.029192	-0.033311
0.004675	-0.006485	0.034371	17.093323	0.272139	0							0.029686	-0.033309
0.00517	-0.007194	0.035361	17.092918	0.277091	0							0.030181	-0.033306
0.005665	-0.009547	0.036351	17.092628	0.282043	0							0.030676	-0.033304
0.00616	-0.005381	0.03734	17.092411	0.286996	0							0.031171	-0.033302
0.006655	-0.00383	0.03833	17.092304	0.291948	0							0.031665	-0.033299
0.007149	-0.003837	0.03932	17.092329	0.296901	0							0.03216	-0.033297
0.007644	-0.001578	0.040309	17.092468	0.301853	0							0.032655	-0.033295
0.008139	-0.001621	0.041299	17.092577	0.306806	0							0.03315	-0.033292
0.008634	0.001444	0.042289	17.092756	0.311758	0							0.033645	-0.03329
0.009128	0.002586	0.043279	17.093023	0.316711	0							0.034139	-0.033288
0.009623	0.004981	0.044268	17.093277	0.321663	0							0.034634	-0.033285
0.010118	0.004102	0.045258	17.093479	0.326616	0							0.035129	-0.033283
0.010613	0.004323	0.046248	17.093651	0.331568	0							0.035624	-0.033281
0.011107	0.002389	0.047237	17.0937	0.336521	0							0.036118	-0.033279
0.011602	0.006297	0.048227	17.093693	0.341473	0							0.036613	-0.033277
0.012097	0.006911	0.049217	17.09359	0.346426	0							0.037108	-0.033275
0.012592	0.005413	0.050206	17.093456	0.351378	0							0.037603	-0.033273
0.013087	0.004532	0.051196	17.093264	0.356331	0							0.038097	-0.033271
0.013581	0.000214	0.052186	17.093002	0.361283	0							0.038592	-0.033268
0.014076	-0.00035	0.053176	17.092571	0.366236	0							0.039087	-0.033266
0.014571	-0.006682	0.054165	17.092173	0.371188	0							0.039582	-0.033264
0.015066	-0.004956	0.055155	17.09166	0.376141	0							0.040077	-0.033262
0.01556	-0.00786	0.056145	17.091183	0.381093	0							0.040571	-0.03326
0.016055	-0.006995	0.057134	17.090471	0.386046	0							0.041066	-0.033258
0.01655	-0.007367	0.058124	17.089729	0.390998	0							0.041561	-0.033256
0.017045	-0.008071	0.059114	17.088877	0.395951	0							0.042056	-0.033253
0.01754	-0.007586	0.060103	17.087988	0.400903	0							0.04255	-0.033251
0.018034	-0.006458	0.061093	17.087187	0.405856	0							0.043045	-0.033249
0.018529	-0.00402	0.062083	17.086296	0.410808	0							0.04354	-0.033247
0.019024	-0.004758	0.063073	17.085373	0.415761	0							0.044035	-0.033245
0.019519	-0.001684	0.064062	17.08452	0.420713	0							0.044529	-0.033243
0.020013	-0.003944	0.065052	17.083408	0.425666	0							0.045024	-0.03324
0.020508	-0.004144	0.066042	17.082235	0.430618	0							0.045519	-0.033238
0.021003	-0.003306	0.067031	17.081032	0.435571	0							0.046014	-0.033236
0.021498	-0.00544	0.068021	17.079874	0.440523	0							0.046509	-0.033234
0.021992	-0.007587	0.069011	17.078615	0.445476	0							0.047003	-0.033232
0.022487	-0.008855	0.07	17.077343	0.450428	0							0.047498	-0.03323
