Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
-0.024782	0	-0.024782	17.142002	-0.024782	0	-0.000048	""	-0.024782	"Method Settings"	-0.000415	"1.A.1"	0	-0.022622
-0.024288	-0.043482	-0.023793	17.144905	-0.019836	0			-0.024683	"Equilibration"	0.100394	"Waste(Frac)"	0.000495	-0.022284
-0.023793	-0.043817	-0.022803	17.144896	-0.01489	0			-0.005436	"Sample Application"	0.108358	"1.A.2"	0.000989	-0.021945
-0.023298	-0.045857	-0.021814	17.144979	-0.009944	0			0.100892	"Elution"	0.308389	"1.A.3"	0.001484	-0.021606
-0.022803	-0.050509	-0.020825	17.145298	-0.004998	0					0.508426	"1.A.4"	0.001979	-0.021268
-0.022309	-0.052285	-0.019835	17.145445	-0.000052	0					0.708762	"1.A.5"	0.002473	-0.020929
-0.021814	-0.054275	-0.018846	17.146202	0.004895	0					0.908823	"1.A.6"	0.002968	-0.02059
-0.021319	-0.053982	-0.017857	17.147713	0.009841	0					1.108374	"1.A.7"	0.003463	-0.020252
-0.020825	-0.051931	-0.016867	17.147207	0.014787	0					1.308416	"1.A.8"	0.003958	-0.019913
-0.02033	-0.045656	-0.015878	17.147116	0.019733	0					1.508738	"1.A.9"	0.004452	-0.019575
-0.019835	-0.043029	-0.014888	17.147388	0.024679	0					1.708809	"1.A.10"	0.004947	-0.019236
-0.019341	-0.045108	-0.013899	17.148121	0.029625	0					1.908848	"1.A.11"	0.005442	-0.018893
-0.018846	-0.042783	-0.01291	17.149054	0.034571	0					2.108901	"1.A.12"	0.005936	-0.01855
-0.018351	-0.02928	-0.01192	17.1495	0.039517	0					2.308726	"1.B.1"	0.006431	-0.018207
-0.017857	-0.015344	-0.010931	17.149139	0.044464	0					2.508799	"1.B.2"	0.006926	-0.017864
-0.017362	-0.015674	-0.009941	17.148123	0.04941	0					2.708841	"1.B.3"	0.00742	-0.017521
-0.016867	-0.020457	-0.008952	17.146553	0.054356	0					2.908903	"1.B.4"	0.007915	-0.017178
-0.016372	-0.023179	-0.007963	17.144569	0.059302	0					3.046259	"Waste(Frac)"	0.00841	-0.016835
-0.015878	-0.022215	-0.006973	17.142233	0.064248	0					3.046763	"Waste(Frac)"	0.008904	-0.016492
-0.015383	-0.025923	-0.005984	17.139296	0.069194	0							0.009399	-0.016149
-0.014888	-0.021442	-0.004995	17.135416	0.07414	0							0.009894	-0.015806
-0.014394	-0.027852	-0.004005	17.130047	0.079086	0							0.010389	-0.015464
-0.013899	-0.031573	-0.003016	17.122723	0.084033	0							0.010883	-0.015121
-0.013404	-0.039128	-0.002026	17.114239	0.088979	0							0.011378	-0.014779
-0.01291	-0.036374	-0.001037	17.105431	0.093925	0							0.011873	-0.014437
-0.012415	-0.03297	-0.000048	17.086603	0.098871	0							0.012367	-0.014094
-0.01192	-0.030769	0.000942	17.097786	0.103817	0							0.012862	-0.013752
-0.011426	-0.027636	0.001931	17.098497	0.108763	0							0.013357	-0.01341
-0.010931	-0.028592	0.00292	17.099112	0.113709	0							0.013851	-0.013067
-0.010436	-0.030605	0.00391	17.099829	0.118655	0							0.014346	-0.012725
-0.009941	-0.027048	0.004899	17.100613	0.123602	0							0.014841	-0.012382
-0.009447	-0.025256	0.005889	17.101637	0.128548	0							0.015335	-0.012044
-0.008952	-0.022731	0.006878	17.102917	0.133494	0							0.01583	-0.011706
-0.008457	-0.023461	0.007867	17.104351	0.13844	0							0.016325	-0.011368
-0.007963	-0.021107	0.008857	17.105795	0.143386	0							0.01682	-0.013754
-0.007468	-0.026062	0.009846	17.106768	0.148332	0							0.017314	-0.017487
-0.006973	-0.028152	0.010836	17.107086	0.153278	0							0.017809	-0.019088
-0.006479	-0.002471	0.011825	17.106863	0.158225	0							0.018304	-0.017259
-0.005984	0.004646	0.012814	17.106243	0.163171	0							0.018798	-0.012886
-0.005489	0.000546	0.013804	17.105295	0.168117	0							0.019293	-0.010222
-0.004995	-0.005196	0.014793	17.10405	0.173063	0							0.019788	-0.013546
-0.0045	-0.003128	0.015782	17.102644	0.178009	0							0.020282	-0.014626
-0.004005	-0.00439	0.016772	17.101288	0.182955	0							0.020777	-0.013326
-0.00351	-0.005841	0.017761	17.100012	0.187901	0							0.021272	-0.015077
-0.003016	-0.005821	0.018751	17.098822	0.192847	0							0.021766	-0.012292
-0.002521	-0.0046	0.01974	17.097775	0.197794	0							0.022261	-0.008716
-0.002026	-0.001631	0.020729	17.096909	0.20274	0							0.022756	-0.007082
-0.001532	-0.002536	0.021719	17.096048	0.207686	0							0.023251	-0.009067
-0.001037	-0.004551	0.022708	17.095415	0.212632	0							0.023745	-0.011359
-0.000542	-0.001739	0.023698	17.095098	0.217578	0							0.02424	-0.018845
-0.000048	-0.011668	0.024687	17.094969	0.222524	0							0.024735	-0.018155
0.000447	-0.014719	0.025676	17.095043	0.22747	0							0.025229	-0.02173
0.000942	-0.01242	0.026666	17.095409	0.232416	0							0.025724	-0.024426
0.001436	-0.010715	0.027655	17.095913	0.237363	0							0.026219	-0.024815
0.001931	-0.010733	0.028644	17.096457	0.242309	0							0.026713	-0.025296
0.002426	-0.013182	0.029634	17.097076	0.247255	0							0.027208	-0.024166
0.002921	-0.013933	0.030623	17.097679	0.252201	0							0.027703	-0.019083
0.003415	-0.013604	0.031613	17.098373	0.257147	0							0.028197	-0.015167
0.00391	-0.013007	0.032602	17.099045	0.262093	0							0.028692	-0.015158
0.004405	-0.009033	0.033591	17.099686	0.267039	0							0.029187	-0.011414
0.004899	-0.005689	0.034581	17.100109	0.271985	0							0.029682	-0.012105
0.005394	-0.001546	0.03557	17.100334	0.276932	0							0.030176	-0.008972
0.005889	0.001465	0.036559	17.100418	0.281878	0							0.030671	-0.004049
0.006383	0.003841	0.037549	17.10041	0.286824	0							0.031166	-0.001088
0.006878	0.006391	0.038538	17.100399	0.29177	0							0.03166	-0.000736
0.007373	0.009966	0.039528	17.100275	0.296716	0							0.032155	-0.000385
0.007867	0.010583	0.040517	17.099932	0.301662	0							0.03265	-0.005782
0.008362	0.009775	0.041506	17.099518	0.306608	0							0.033144	-0.011082
0.008857	0.008897	0.042496	17.099245	0.311554	0							0.033639	-0.007943
0.009352	0.005134	0.043485	17.098883	0.316501	0							0.034134	-0.007401
0.009846	0.001331	0.044475	17.098377	0.321447	0							0.034628	-0.003639
0.010341	-0.000025	0.045464	17.097679	0.326393	0							0.035123	-0.006992
0.010836	-0.000833	0.046453	17.097008	0.331339	0							0.035618	-0.006949
0.01133	-0.001386	0.047443	17.09623	0.336285	0							0.036113	-0.00362
0.011825	-0.002932	0.048432	17.095402	0.341231	0							0.036607	-0.002468
0.01232	-0.006327	0.049421	17.094526	0.346177	0							0.037102	-0.001109
0.012814	-0.008264	0.050411	17.093626	0.351123	0							0.037597	0.003464
0.013309	-0.008457	0.0514	17.092705	0.35607	0							0.038091	0.003812
0.013804	-0.007594	0.05239	17.091579	0.361016	0							0.038586	0.00416
0.014298	-0.0046	0.053379	17.090403	0.365962	0							0.039081	0.002684
0.014793	-0.000245	0.054368	17.08917	0.370908	0							0.039575	0.004005
0.015288	-0.001182	0.055358	17.087536	0.375854	0							0.04007	0.005214
0.015783	-0.004805	0.056347	17.08564	0.3808	0							0.040565	0.005571
0.016277	-0.00895	0.057336	17.08379	0.385746	0							0.041059	0.005928
0.016772	-0.013754	0.058326	17.082066	0.390692	0							0.041554	0.005974
0.017267	-0.017487	0.059315	17.080235	0.395639	0							0.042049	0.004186
0.017761	-0.019088	0.060305	17.078484	0.400585	0							0.042544	0.001212
0.018256	-0.017259	0.061294	17.076715	0.405531	0							0.043038	0.001583
0.018751	-0.012886	0.062283	17.075022	0.410477	0							0.043533	0.002666
0.019245	-0.010222	0.063273	17.073278	0.415423	0							0.044028	0.004683
0.01974	-0.013546	0.064262	17.071587	0.420369	0							0.044522	0.003473
0.020235	-0.014626	0.065252	17.069859	0.425315	0							0.045017	0.002779
0.020729	-0.013326	0.066241	17.068085	0.430261	0							0.045512	-0.000053
0.021224	-0.015077	0.06723	17.066423	0.435208	0							0.046006	-0.005056
0.021719	-0.012292	0.06822	17.064682	0.440154	0							0.046501	-0.00567
0.022214	-0.008716	0.069209	17.062897	0.4451	0							0.046996	-0.000284
