Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
-0.024751	0	-0.024751	17.145687	-0.024751	0	-0.000016	""	-0.024751	"Method Settings"	-0.000416	"1.A.1"	0	-0.033738
-0.024256	0.003003	-0.023761	17.147209	-0.019798	0			-0.024666	"Equilibration"	0.100354	"Waste(Frac)"	0.000495	-0.033725
-0.023761	0.001711	-0.022772	17.147284	-0.014846	0			-0.005437	"Sample Application"	0.108303	"1.A.2"	0.000989	-0.033713
-0.023267	0.001291	-0.021783	17.147398	-0.009893	0			0.10085	"Elution"	0.308375	"1.A.3"	0.001484	-0.0337
-0.022772	0.000249	-0.020793	17.147503	-0.004941	0					0.508413	"1.A.4"	0.001979	-0.033688
-0.022277	-0.00263	-0.019804	17.14728	0.000011	0					0.708278	"1.A.5"	0.002473	-0.033675
-0.021783	-0.00837	-0.018814	17.149376	0.004964	0					0.908277	"1.A.6"	0.002968	-0.033663
-0.021288	-0.011438	-0.017825	17.15307	0.009916	0					1.108359	"1.A.7"	0.003463	-0.033651
-0.020793	-0.018814	-0.016836	17.152637	0.014869	0					1.308388	"1.A.8"	0.003957	-0.033638
-0.020298	-0.013179	-0.015846	17.152571	0.019821	0					1.508753	"1.A.9"	0.004452	-0.033626
-0.019804	-0.011899	-0.014857	17.152796	0.024773	0					1.708795	"1.A.10"	0.004947	-0.033613
-0.019309	-0.010294	-0.013868	17.1535	0.029726	0					1.908838	"1.A.11"	0.005442	-0.033601
-0.018814	-0.004512	-0.012878	17.15439	0.034678	0					2.108876	"1.A.12"	0.005936	-0.033589
-0.01832	-0.000915	-0.011889	17.154737	0.039631	0					2.308711	"1.B.1"	0.006431	-0.033576
-0.017825	0.000816	-0.010899	17.154291	0.044583	0					2.508768	"1.B.2"	0.006926	-0.033564
-0.01733	0.00101	-0.00991	17.153223	0.049536	0					2.708829	"1.B.3"	0.00742	-0.033551
-0.016836	-0.000687	-0.008921	17.151735	0.054488	0					2.908864	"1.B.4"	0.007915	-0.033539
-0.016341	0.00129	-0.007931	17.149906	0.05944	0					3.046244	"Waste(Frac)"	0.00841	-0.033527
-0.015846	0.002888	-0.006942	17.147905	0.064393	0					3.046744	"Waste(Frac)"	0.008904	-0.033514
-0.015352	0.003369	-0.005953	17.145885	0.069345	0							0.009399	-0.033502
-0.014857	0.003302	-0.004963	17.143766	0.074298	0							0.009894	-0.03349
-0.014362	0.000813	-0.003974	17.141445	0.07925	0							0.010388	-0.033477
-0.013868	-0.003528	-0.002985	17.138943	0.084202	0							0.010883	-0.033464
-0.013373	-0.005825	-0.001995	17.136343	0.089155	0							0.011378	-0.033451
-0.012878	-0.004863	-0.001006	17.133829	0.094107	0							0.011872	-0.033439
-0.012384	-0.005468	-0.000016	17.128017	0.09906	0							0.012367	-0.033426
-0.011889	-0.003425	0.000973	17.131245	0.104012	0							0.012862	-0.033413
-0.011394	-0.000925	0.001962	17.131792	0.108964	0							0.013356	-0.033401
-0.010899	-0.000926	0.002952	17.13241	0.113917	0							0.013851	-0.033388
-0.010405	0.00141	0.003941	17.13302	0.118869	0							0.014346	-0.033375
-0.00991	-0.00089	0.00493	17.133678	0.123822	0							0.014841	-0.033363
-0.009415	0.000254	0.00592	17.134401	0.128774	0							0.015335	-0.03335
-0.008921	0.005406	0.006909	17.135155	0.133727	0							0.01583	-0.033338
-0.008426	0.008996	0.007898	17.135902	0.138679	0							0.016325	-0.033325
-0.007931	0.011176	0.008888	17.136745	0.143631	0							0.016819	-0.033313
-0.007437	0.008036	0.009877	17.137793	0.148584	0							0.017314	-0.0333
-0.006942	0.006492	0.010867	17.138975	0.153536	0							0.017809	-0.033288
-0.006447	0.000064	0.011856	17.140215	0.158489	0							0.018303	-0.033275
-0.005953	-0.000614	0.012845	17.141104	0.163441	0							0.018798	-0.033263
-0.005458	-0.000025	0.013835	17.141397	0.168393	0							0.019293	-0.03325
-0.004963	0.000677	0.014824	17.141199	0.173346	0							0.019787	-0.033238
-0.004469	0.001168	0.015813	17.14068	0.178298	0							0.020282	-0.033226
-0.003974	-0.004431	0.016803	17.139923	0.183251	0							0.020777	-0.033214
-0.003479	-0.002408	0.017792	17.138903	0.188203	0							0.021271	-0.033202
-0.002985	-0.002972	0.018782	17.137686	0.193155	0							0.021766	-0.03319
-0.00249	-0.000916	0.019771	17.136314	0.198108	0							0.022261	-0.033178
-0.001995	0.000993	0.02076	17.134871	0.20306	0							0.022755	-0.033166
-0.0015	0.001487	0.02175	17.133383	0.208013	0							0.02325	-0.033154
-0.001006	0.005665	0.022739	17.13212	0.212965	0							0.023745	-0.033141
-0.000511	0.006052	0.023728	17.130665	0.217918	0							0.02424	-0.033129
-0.000016	-0.002399	0.024718	17.129734	0.22287	0							0.024734	-0.033117
0.000478	0.000108	0.025707	17.128864	0.227822	0							0.025229	-0.033106
0.000973	-0.003519	0.026696	17.128122	0.232775	0							0.025724	-0.033095
0.001468	-0.005489	0.027686	17.127508	0.237727	0							0.026218	-0.033084
0.001962	-0.008084	0.028675	17.126945	0.24268	0							0.026713	-0.033073
0.002457	-0.005933	0.029665	17.126493	0.247632	0							0.027208	-0.033062
0.002952	-0.004064	0.030654	17.126268	0.252584	0							0.027702	-0.033051
0.003446	-0.002686	0.031643	17.126068	0.257537	0							0.028197	-0.03304
0.003941	-0.00479	0.032633	17.125872	0.262489	0							0.028692	-0.033029
0.004436	-0.01237	0.033622	17.125782	0.267442	0							0.029186	-0.033017
0.00493	-0.013226	0.034611	17.125671	0.272394	0							0.029681	-0.033006
0.005425	-0.008254	0.035601	17.125599	0.277346	0							0.030176	-0.032993
0.00592	-0.007049	0.03659	17.125496	0.282299	0							0.03067	-0.032979
0.006414	-0.00478	0.037579	17.125311	0.287251	0							0.031165	-0.032965
0.006909	-0.004042	0.038569	17.125252	0.292204	0							0.03166	-0.032951
0.007404	-0.003426	0.039558	17.125092	0.297156	0							0.032154	-0.032937
0.007899	-0.005915	0.040548	17.124754	0.302108	0							0.032649	-0.032924
0.008393	-0.005995	0.041537	17.124424	0.307061	0							0.033144	-0.03291
0.008888	-0.003825	0.042526	17.123999	0.312013	0							0.033639	-0.032896
0.009383	-0.000559	0.043516	17.123484	0.316966	0							0.034133	-0.032882
0.009877	-0.000422	0.044505	17.122902	0.321918	0							0.034628	-0.032868
0.010372	-0.001796	0.045494	17.122366	0.326871	0							0.035123	-0.032856
0.010867	-0.004873	0.046484	17.1217	0.331823	0							0.035617	-0.032844
0.011361	-0.006843	0.047473	17.121021	0.336775	0							0.036112	-0.032831
0.011856	-0.008007	0.048463	17.120195	0.341728	0							0.036607	-0.032819
0.012351	-0.011162	0.049452	17.119102	0.34668	0							0.037101	-0.032806
0.012845	-0.011763	0.050441	17.118156	0.351633	0							0.037596	-0.032794
0.01334	-0.012264	0.051431	17.117165	0.356585	0							0.038091	-0.032782
0.013835	-0.011017	0.05242	17.116198	0.361537	0							0.038585	-0.032769
0.014329	-0.008619	0.053409	17.115089	0.36649	0							0.03908	-0.032757
0.014824	-0.008271	0.054399	17.113804	0.371442	0							0.039575	-0.032744
0.015319	-0.009421	0.055388	17.112473	0.376395	0							0.040069	-0.032732
0.015813	-0.007827	0.056377	17.111139	0.381347	0							0.040564	-0.032719
0.016308	-0.004112	0.057367	17.109806	0.386299	0							0.041059	-0.032706
0.016803	-0.002353	0.058356	17.108402	0.391252	0							0.041553	-0.032693
0.017298	-0.000739	0.059346	17.106915	0.396204	0							0.042048	-0.03268
0.017792	-0.000692	0.060335	17.105459	0.401157	0							0.042543	-0.032667
0.018287	-0.000856	0.061324	17.103874	0.406109	0							0.043038	-0.032654
0.018782	-0.001766	0.062314	17.10228	0.411062	0							0.043532	-0.032642
0.019276	-0.004887	0.063303	17.100687	0.416014	0							0.044027	-0.032629
0.019771	-0.007196	0.064292	17.099073	0.420966	0							0.044522	-0.032616
0.020266	-0.001308	0.065282	17.097376	0.425919	0							0.045016	-0.032605
0.02076	-0.001582	0.066271	17.095713	0.430871	0							0.045511	-0.032594
0.021255	-0.00275	0.06726	17.094128	0.435824	0							0.046006	-0.032583
0.02175	-0.009806	0.06825	17.092592	0.440776	0							0.0465	-0.032572
0.022244	-0.013413	0.069239	17.090994	0.445728	0							0.046995	-0.032561
