Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
-0.024931	0.277165	-0.024931	17.199558	-0.024931	0	-0.000194	""	-0.024931	"Method Settings"	-0.000409	"1.A.1"	0	-0.026278
-0.024437	0.300827	-0.023942	17.20068	-0.019979	0			-0.024835	"Equilibration"	0.100539	"Waste(Frac)"	0.000495	-0.026172
-0.023942	0.303166	-0.022952	17.200861	-0.015027	0			-0.005414	"Sample Application"	0.108507	"1.A.2"	0.000989	-0.026066
-0.023447	0.302385	-0.021962	17.20093	-0.010075	0			0.101036	"Elution"	0.30857	"1.A.3"	0.001484	-0.025959
-0.022952	0.305449	-0.020973	17.201195	-0.005122	0					0.508893	"1.A.4"	0.001979	-0.025853
-0.022458	0.311034	-0.019983	17.201128	-0.00017	0					0.708456	"1.A.5"	0.002474	-0.025747
-0.021963	0.315327	-0.018993	17.200575	0.004782	0					0.908497	"1.A.6"	0.002968	-0.025641
-0.021468	0.314013	-0.018004	17.203714	0.009734	0					1.108561	"1.A.7"	0.003463	-0.025535
-0.020973	0.316222	-0.017014	17.204174	0.014687	0					1.308886	"1.A.8"	0.003958	-0.025429
-0.020479	0.315501	-0.016024	17.203884	0.019639	0					1.508942	"1.A.9"	0.004453	-0.025323
-0.019984	0.319551	-0.015035	17.203951	0.024591	0					1.708986	"1.A.10"	0.004947	-0.025217
-0.019489	0.322806	-0.014045	17.204456	0.029543	0					1.909038	"1.A.11"	0.005442	-0.025111
-0.018994	0.32071	-0.013055	17.205381	0.034496	0					2.108875	"1.A.12"	0.005937	-0.025005
-0.0185	0.321994	-0.012066	17.205936	0.039448	0					2.308917	"1.B.1"	0.006432	-0.0249
-0.018005	0.331362	-0.011076	17.205652	0.0444	0					2.508974	"1.B.2"	0.006926	-0.024794
-0.01751	0.331505	-0.010086	17.204626	0.049352	0					2.709027	"1.B.3"	0.007421	-0.024688
-0.017015	0.326185	-0.009097	17.202679	0.054304	0					2.908864	"1.B.4"	0.007916	-0.024583
-0.016521	0.320872	-0.008107	17.200489	0.059257	0					3.04645	"Waste(Frac)"	0.008411	-0.024477
-0.016026	0.318323	-0.007118	17.198036	0.064209	0					3.046948	"Waste(Frac)"	0.008905	-0.024371
-0.015531	0.319718	-0.006128	17.19552	0.069161	0							0.0094	-0.024266
-0.015036	0.320462	-0.005138	17.192955	0.074113	0							0.009895	-0.02416
-0.014542	0.322501	-0.004149	17.190649	0.079066	0							0.01039	-0.024055
-0.014047	0.323271	-0.003159	17.188404	0.084018	0							0.010884	-0.023949
-0.013552	0.322262	-0.002169	17.186434	0.08897	0							0.011379	-0.023844
-0.013057	0.320627	-0.00118	17.184853	0.093922	0							0.011874	-0.023739
-0.012563	0.321246	-0.00019	17.180361	0.098875	0							0.012369	-0.023634
-0.012068	0.322906	0.0008	17.181728	0.103827	0							0.012863	-0.023528
-0.011573	0.325638	0.001789	17.182373	0.108779	0							0.013358	-0.023423
-0.011078	0.326347	0.002779	17.182957	0.113731	0							0.013853	-0.023318
-0.010584	0.324161	0.003769	17.183525	0.118684	0							0.014348	-0.023213
-0.010089	0.320791	0.004758	17.184097	0.123636	0							0.014842	-0.023107
-0.009594	0.322794	0.005748	17.184772	0.128588	0							0.015337	-0.022997
-0.009099	0.324674	0.006738	17.185482	0.13354	0							0.015832	-0.022887
-0.008605	0.326733	0.007727	17.186272	0.138492	0							0.016327	-0.022777
-0.00811	0.326945	0.008717	17.187145	0.143445	0							0.016821	-0.022666
-0.007615	0.327677	0.009707	17.188034	0.148397	0							0.017316	-0.022556
-0.00712	0.32964	0.010696	17.189005	0.153349	0							0.017811	-0.022446
-0.006626	0.140783	0.011686	17.190145	0.158301	0							0.018306	-0.022336
-0.006131	-0.000912	0.012676	17.191381	0.163254	0							0.0188	-0.022225
-0.005636	-0.000724	0.013665	17.192335	0.168206	0							0.019295	-0.022115
-0.005141	-0.001832	0.014655	17.192665	0.173158	0							0.01979	-0.022005
-0.004647	-0.003667	0.015644	17.192459	0.17811	0							0.020285	-0.021896
-0.004152	-0.004693	0.016634	17.191872	0.183063	0							0.020779	-0.021787
-0.003657	-0.005193	0.017624	17.190935	0.188015	0							0.021274	-0.021678
-0.003162	-0.003524	0.018613	17.189621	0.192967	0							0.021769	-0.02157
-0.002668	-0.005707	0.019603	17.188135	0.197919	0							0.022264	-0.021461
-0.002173	-0.011753	0.020593	17.186558	0.202872	0							0.022758	-0.021352
-0.001678	-0.015298	0.021582	17.18498	0.207824	0							0.023253	-0.021243
-0.001183	-0.013829	0.022572	17.183521	0.212776	0							0.023748	-0.021134
-0.000689	-0.011391	0.023562	17.1821	0.217728	0							0.024243	-0.021026
-0.000194	-0.003594	0.024551	17.180819	0.22268	0							0.024737	-0.020917
0.000301	0.005883	0.025541	17.179754	0.227633	0							0.025232	-0.020814
0.000796	0.010126	0.026531	17.178787	0.232585	0							0.025727	-0.020711
0.00129	0.008476	0.02752	17.177874	0.237537	0							0.026222	-0.020609
0.001785	0.010656	0.02851	17.177088	0.242489	0							0.026716	-0.020506
0.00228	0.009976	0.0295	17.176441	0.247442	0							0.027211	-0.020403
0.002775	0.007674	0.030489	17.175894	0.252394	0							0.027706	-0.0203
0.003269	0.006698	0.031479	17.175426	0.257346	0							0.028201	-0.020198
0.003764	0.001497	0.032469	17.17498	0.262298	0							0.028695	-0.020095
0.004259	-0.004568	0.033458	17.174541	0.267251	0							0.02919	-0.019992
0.004754	-0.008114	0.034448	17.174109	0.272203	0							0.029685	-0.019889
0.005248	-0.010637	0.035437	17.173662	0.277155	0							0.03018	-0.019782
0.005743	-0.008992	0.036427	17.173233	0.282107	0							0.030674	-0.019674
0.006238	-0.006009	0.037417	17.172823	0.287059	0							0.031169	-0.019567
0.006732	-0.006308	0.038406	17.172428	0.292012	0							0.031664	-0.019459
0.007227	-0.006899	0.039396	17.17198	0.296964	0							0.032158	-0.019352
0.007722	-0.007228	0.040386	17.171486	0.301916	0							0.032653	-0.019244
0.008217	-0.008129	0.041375	17.170971	0.306868	0							0.033148	-0.019137
0.008711	-0.010534	0.042365	17.170408	0.311821	0							0.033643	-0.019029
0.009206	-0.014821	0.043355	17.169777	0.316773	0							0.034137	-0.018922
0.009701	-0.018374	0.044344	17.169037	0.321725	0							0.034632	-0.018814
0.010196	-0.017866	0.045334	17.168247	0.326677	0							0.035127	-0.018703
0.01069	-0.019615	0.046324	17.167467	0.33163	0							0.035622	-0.018592
0.011185	-0.020892	0.047313	17.166544	0.336582	0							0.036116	-0.01848
0.01168	-0.018642	0.048303	17.165634	0.341534	0							0.036611	-0.018369
0.012175	-0.019816	0.049293	17.164633	0.346486	0							0.037106	-0.018258
0.012669	-0.021979	0.050282	17.16362	0.351439	0							0.037601	-0.018147
0.013164	-0.021002	0.051272	17.162445	0.356391	0							0.038095	-0.018036
0.013659	-0.017876	0.052262	17.161243	0.361343	0							0.03859	-0.017925
0.014154	-0.014636	0.053251	17.160007	0.366295	0							0.039085	-0.017813
0.014648	-0.009294	0.054241	17.158693	0.371247	0							0.03958	-0.017702
0.015143	-0.007054	0.055231	17.157362	0.3762	0							0.040074	-0.017588
0.015638	-0.00542	0.05622	17.155994	0.381152	0							0.040569	-0.017475
0.016133	-0.004398	0.05721	17.1546	0.386104	0							0.041064	-0.017361
0.016627	-0.004127	0.058199	17.153179	0.391056	0							0.041559	-0.017247
0.017122	-0.004753	0.059189	17.151659	0.396009	0							0.042053	-0.017133
0.017617	0.000011	0.060179	17.150166	0.400961	0							0.042548	-0.017019
0.018112	0.000821	0.061168	17.148682	0.405913	0							0.043043	-0.016906
0.018606	0.003029	0.062158	17.147118	0.410865	0							0.043538	-0.016792
0.019101	0.002362	0.063148	17.145542	0.415818	0							0.044032	-0.016678
0.019596	0.002563	0.064137	17.143904	0.42077	0							0.044527	-0.016564
0.020091	0.002546	0.065127	17.142242	0.425722	0							0.045022	-0.016464
0.020585	0.00015	0.066117	17.140596	0.430674	0							0.045517	-0.016363
0.02108	-0.00282	0.067106	17.13899	0.435626	0							0.046011	-0.016263
0.021575	-0.003512	0.068096	17.137362	0.440579	0							0.046506	-0.016162
0.02207	-0.006296	0.069086	17.135609	0.445531	0							0.047001	-0.016062
0.022564	-0.009021	0.070075	17.133915	0.450483	0							0.047496	-0.015961
