Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
-0.025053	0	-0.025053	17.198374	-0.025053	0	0.00018	""	-0.025053	"Method Settings"	-0.000418	"1.A.1"	0	0.005662
-0.024559	0.00185	-0.024064	17.201452	-0.0201	0			-0.024967	"Equilibration"	0.10006	"Waste(Frac)"	0.000495	0.005916
-0.024064	0.002654	-0.023074	17.201401	-0.015147	0			-0.005403	"Sample Application"	0.108023	"1.A.2"	0.00099	0.00617
-0.023569	0.004719	-0.022085	17.201462	-0.010194	0			0.100557	"Elution"	0.308069	"1.A.3"	0.001484	0.006424
-0.023074	0.003505	-0.021095	17.201727	-0.00524	0					0.508391	"1.A.4"	0.001979	0.006679
-0.02258	0.000797	-0.020106	17.201904	-0.000287	0					0.708458	"1.A.5"	0.002474	0.006933
-0.022085	-0.001529	-0.019116	17.202236	0.004666	0					0.908018	"1.A.6"	0.002969	0.007187
-0.02159	0.00061	-0.018127	17.204037	0.009619	0					1.108056	"1.A.7"	0.003463	0.007442
-0.021095	0.003018	-0.017137	17.203419	0.014573	0					1.308382	"1.A.8"	0.003958	0.007696
-0.0206	0.000361	-0.016148	17.203255	0.019526	0					1.508449	"1.A.9"	0.004453	0.00795
-0.020106	-0.000864	-0.015158	17.203363	0.024479	0					1.708493	"1.A.10"	0.004948	0.008204
-0.019611	0.001494	-0.014168	17.203888	0.029433	0					1.908561	"1.A.11"	0.005442	0.008465
-0.019116	0.003737	-0.013179	17.204687	0.034386	0					2.108386	"1.A.12"	0.005937	0.008725
-0.018621	0.004023	-0.012189	17.205141	0.039339	0					2.308426	"1.B.1"	0.006432	0.008986
-0.018127	0.002012	-0.0112	17.204782	0.044292	0					2.508481	"1.B.2"	0.006927	0.009246
-0.017632	0.0012	-0.01021	17.203735	0.049246	0					2.708548	"1.B.3"	0.007422	0.009507
-0.017137	0.0017	-0.009221	17.202114	0.054199	0					2.908373	"1.B.4"	0.007916	0.009767
-0.016642	0.005472	-0.008231	17.200157	0.059152	0					3.045972	"Waste(Frac)"	0.008411	0.010027
-0.016148	0.004378	-0.007242	17.197996	0.064105	0					3.046471	"Waste(Frac)"	0.008906	0.010288
-0.015653	0.004364	-0.006252	17.195784	0.069059	0							0.009401	0.010548
-0.015158	0.006041	-0.005263	17.193583	0.074012	0							0.009895	0.010809
-0.014663	0.004938	-0.004273	17.191473	0.078965	0							0.01039	0.01106
-0.014168	0.004244	-0.003284	17.189562	0.083918	0							0.010885	0.011312
-0.013674	0.008983	-0.002294	17.187857	0.088872	0							0.01138	0.011563
-0.013179	0.012607	-0.001305	17.186384	0.093825	0							0.011874	0.011815
-0.012684	0.013669	-0.000315	17.182364	0.098778	0							0.012369	0.012067
-0.012189	0.016899	0.000675	17.184317	0.103732	0							0.012864	0.012318
-0.011695	0.013678	0.001664	17.185041	0.108685	0							0.013359	0.01257
-0.0112	0.012813	0.002654	17.185644	0.113638	0							0.013854	0.012821
-0.010705	0.017431	0.003643	17.186247	0.118591	0							0.014348	0.013073
-0.01021	0.017175	0.004633	17.186848	0.123545	0							0.014843	0.013324
-0.009716	0.014444	0.005622	17.187469	0.128498	0							0.015338	0.013584
-0.009221	0.008495	0.006612	17.188091	0.133451	0							0.015833	0.013843
-0.008726	0.001657	0.007601	17.188765	0.138404	0							0.016327	0.014103
-0.008231	-0.000865	0.008591	17.18951	0.143358	0							0.016822	0.014363
-0.007737	0.001072	0.00958	17.190268	0.148311	0							0.017317	0.014622
-0.007242	-0.005635	0.01057	17.191042	0.153264	0							0.017812	0.014882
-0.006747	-0.005432	0.011559	17.191887	0.158217	0							0.018306	0.015141
-0.006252	-0.002701	0.012549	17.192755	0.163171	0							0.018801	0.015401
-0.005757	-0.006102	0.013539	17.193672	0.168124	0							0.019296	0.01566
-0.005263	0.002129	0.014528	17.194771	0.173077	0							0.019791	0.01592
-0.004768	0.009166	0.015518	17.195831	0.178031	0							0.020286	0.016173
-0.004273	0.01448	0.016507	17.196295	0.182984	0							0.02078	0.016426
-0.003778	0.017741	0.017497	17.196245	0.187937	0							0.021275	0.016679
-0.003284	0.017446	0.018486	17.195831	0.19289	0							0.02177	0.016932
-0.002789	0.015639	0.019476	17.195026	0.197844	0							0.022265	0.017185
-0.002294	0.022777	0.020465	17.193878	0.202797	0							0.022759	0.017438
-0.001799	0.027713	0.021455	17.192617	0.20775	0							0.023254	0.017691
-0.001305	0.029364	0.022444	17.191111	0.212703	0							0.023749	0.017944
-0.00081	0.035558	0.023434	17.189573	0.217657	0							0.024244	0.018197
-0.000315	0.025223	0.024423	17.18796	0.22261	0							0.024738	0.01845
0.00018	0.028264	0.025413	17.186363	0.227563	0							0.025233	0.018702
0.000675	0.032819	0.026403	17.184959	0.232516	0							0.025728	0.018955
0.001169	0.03419	0.027392	17.183704	0.23747	0							0.026223	0.019207
0.001664	0.037467	0.028382	17.182522	0.242423	0							0.026718	0.019459
0.002159	0.039227	0.029371	17.18141	0.247376	0							0.027212	0.014995
0.002654	0.038982	0.030361	17.180517	0.25233	0							0.027707	0.014061
0.003148	0.037096	0.03135	17.179771	0.257283	0							0.028202	0.017991
0.003643	0.035915	0.03234	17.17918	0.262236	0							0.028697	0.013042
0.004138	0.032521	0.033329	17.178703	0.267189	0							0.029191	0.008459
0.004633	0.029871	0.034319	17.178265	0.272143	0							0.029686	0.006297
0.005127	0.026046	0.035308	17.177811	0.277096	0							0.030181	0.007144
0.005622	0.026336	0.036298	17.177303	0.282049	0							0.030676	0.010623
0.006117	0.02581	0.037287	17.176889	0.287002	0							0.03117	0.014363
0.006612	0.023422	0.038277	17.1765	0.291956	0							0.031665	0.012958
0.007107	0.020099	0.039267	17.176121	0.296909	0							0.03216	0.01336
0.007601	0.020687	0.040256	17.1758	0.301862	0							0.032655	0.011932
0.008096	0.02201	0.041246	17.175455	0.306815	0							0.03315	0.013471
0.008591	0.025328	0.042235	17.175066	0.311769	0							0.033644	0.017542
0.009086	0.028099	0.043225	17.174643	0.316722	0							0.034139	0.017912
0.00958	0.028498	0.044214	17.174185	0.321675	0							0.034634	0.017837
0.010075	0.02871	0.045204	17.173691	0.326629	0							0.035129	0.014257
0.01057	0.029373	0.046193	17.173082	0.331582	0							0.035623	0.011639
0.011065	0.026889	0.047183	17.17235	0.336535	0							0.036118	0.010026
0.011559	0.025946	0.048172	17.171556	0.341488	0							0.036613	0.010509
0.012054	0.024915	0.049162	17.170794	0.346442	0							0.037108	0.014073
0.012549	0.022841	0.050151	17.169956	0.351395	0							0.037602	0.016775
0.013044	0.025467	0.051141	17.169083	0.356348	0							0.038097	0.015614
0.013539	0.021446	0.052131	17.168169	0.361301	0							0.038592	0.014389
0.014033	0.016166	0.05312	17.167107	0.366255	0							0.039087	0.016048
0.014528	0.016981	0.05411	17.165962	0.371208	0							0.039581	0.01745
0.015023	0.017162	0.055099	17.164797	0.376161	0							0.040076	0.018927
0.015518	0.016869	0.056089	17.163626	0.381114	0							0.040571	0.021036
0.016012	0.018096	0.057078	17.162426	0.386068	0							0.041066	0.019968
0.016507	0.0165	0.058068	17.161167	0.391021	0							0.041561	0.019673
0.017002	0.019618	0.059057	17.159809	0.395974	0							0.042055	0.02111
0.017497	0.018941	0.060047	17.158424	0.400928	0							0.04255	0.022355
0.017991	0.021773	0.061036	17.157011	0.405881	0							0.043045	0.024113
0.018486	0.025935	0.062026	17.155546	0.410834	0							0.04354	0.023971
0.018981	0.027575	0.063015	17.154068	0.415787	0							0.044034	0.023247
0.019476	0.028597	0.064005	17.15258	0.420741	0							0.044529	0.02277
0.019971	0.035745	0.064994	17.151098	0.425694	0							0.045024	0.02291
0.020465	0.036699	0.065984	17.149593	0.430647	0							0.045519	0.022639
0.02096	0.037543	0.066974	17.148066	0.4356	0							0.046013	0.024513
0.021455	0.039912	0.067963	17.146471	0.440554	0							0.046508	0.027508
0.02195	0.041541	0.068953	17.144814	0.445507	0							0.047003	0.026558
0.022444	0.044771	0.069942	17.143167	0.45046	0							0.047498	0.025899
0.022939	0.038987	0.070932	17.141523	0.455413	0							0.047993	0.027287
0.023434	0.031347	0.071921	17.139923	0.460367	0							0.048487	0.030256
0.023929	0.033171	0.072911	17.138248	0.46532	0							0.048982	0.030487
0.024423	0.036001	0.0739	17.13652	0.470273	0							0.049477	0.030718
