Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
-0.024955	0	-0.024955	17.224356	-0.024955	0	-0.000219	""	-0.024955	"Method Settings"	-0.00042	"1.A.1"	0	-0.001191
-0.02446	-0.003503	-0.023965	17.226135	-0.020002	0			-0.024866	"Equilibration"	0.100279	"Waste(Frac)"	0.000495	-0.001184
-0.023965	-0.006438	-0.022976	17.226149	-0.015049	0			-0.005568	"Sample Application"	0.108329	"1.A.2"	0.000989	-0.001177
-0.023471	-0.00535	-0.021987	17.226252	-0.010097	0			0.100813	"Elution"	0.308626	"1.A.3"	0.001484	-0.00117
-0.022976	-0.004174	-0.020997	17.226433	-0.005144	0					0.508695	"1.A.4"	0.001979	-0.001163
-0.022481	-0.008067	-0.020008	17.226633	-0.000191	0					0.708741	"1.A.5"	0.002474	-0.001156
-0.021987	-0.008496	-0.019018	17.229462	0.004762	0					0.908806	"1.A.6"	0.002968	-0.001149
-0.021492	-0.011774	-0.018029	17.233942	0.009715	0					1.108617	"1.A.7"	0.003463	-0.001142
-0.020997	-0.013669	-0.017039	17.233809	0.014667	0					1.308687	"1.A.8"	0.003958	-0.001135
-0.020502	-0.014917	-0.01605	17.233713	0.01962	0					1.508744	"1.A.9"	0.004452	-0.001128
-0.020008	-0.008537	-0.01506	17.233761	0.024573	0					1.708784	"1.A.10"	0.004947	-0.001121
-0.019513	-0.008578	-0.014071	17.233967	0.029526	0					1.90861	"1.A.11"	0.005442	-0.001114
-0.019018	-0.002953	-0.013082	17.234367	0.034478	0					2.108668	"1.A.12"	0.005937	-0.001107
-0.018524	-0.002738	-0.012092	17.234941	0.039431	0					2.308732	"1.B.1"	0.006431	-0.0011
-0.018029	-0.001299	-0.011103	17.235533	0.044384	0					2.508786	"1.B.2"	0.006926	-0.001093
-0.017534	0.007621	-0.010113	17.235619	0.049337	0					2.708602	"1.B.3"	0.007421	-0.001086
-0.017039	0.010313	-0.009124	17.234892	0.054289	0					2.908652	"1.B.4"	0.007916	-0.001079
-0.016545	0.008263	-0.008134	17.23362	0.059242	0					3.04626	"Waste(Frac)"	0.00841	-0.001072
-0.01605	0.010453	-0.007145	17.23208	0.064195	0					3.046756	"Waste(Frac)"	0.008905	-0.001065
-0.015555	0.011	-0.006156	17.230433	0.069148	0							0.0094	-0.001058
-0.01506	0.003097	-0.005166	17.228785	0.074101	0							0.009894	-0.001051
-0.014566	0.001709	-0.004177	17.227182	0.079053	0							0.010389	-0.001044
-0.014071	0.002238	-0.003187	17.225689	0.084006	0							0.010884	-0.001037
-0.013576	-0.002217	-0.002198	17.224379	0.088959	0							0.011379	-0.00103
-0.013082	-0.004703	-0.001208	17.223219	0.093912	0							0.011873	-0.001023
-0.012587	-0.006155	-0.000219	17.22006	0.098864	0							0.012368	-0.001016
-0.012092	-0.007601	0.000771	17.224287	0.103817	0							0.012863	-0.001009
-0.011597	-0.005316	0.00176	17.224941	0.10877	0							0.013357	-0.001002
-0.011103	-0.007986	0.002749	17.225637	0.113723	0							0.013852	-0.000995
-0.010608	-0.008479	0.003739	17.226334	0.118676	0							0.014347	-0.000988
-0.010113	-0.005344	0.004728	17.226984	0.123628	0							0.014842	-0.000981
-0.009619	-0.008349	0.005718	17.227514	0.128581	0							0.015336	-0.000975
-0.009124	-0.011007	0.006707	17.227989	0.133534	0							0.015831	-0.000968
-0.008629	-0.008944	0.007697	17.228453	0.138487	0							0.016326	-0.000962
-0.008134	-0.006964	0.008686	17.228848	0.143439	0							0.01682	-0.000955
-0.00764	-0.006358	0.009675	17.229208	0.148392	0							0.017315	-0.000948
-0.007145	-0.005682	0.010665	17.229567	0.153345	0							0.01781	-0.000942
-0.00665	-0.000373	0.011654	17.229885	0.158298	0							0.018305	-0.000935
-0.006156	0.001591	0.012644	17.230186	0.16325	0							0.018799	-0.000929
-0.005661	0.000322	0.013633	17.230555	0.168203	0							0.019294	-0.000922
-0.005166	0.00265	0.014623	17.23094	0.173156	0							0.019789	-0.000915
-0.004671	0.006132	0.015612	17.231321	0.178109	0							0.020283	-0.000908
-0.004177	0.009419	0.016602	17.231623	0.183062	0							0.020778	-0.000901
-0.003682	0.00913	0.017591	17.231911	0.188014	0							0.021273	-0.000894
-0.003187	0.004665	0.01858	17.232244	0.192967	0							0.021768	-0.000887
-0.002692	0.003237	0.01957	17.232523	0.19792	0							0.022262	-0.00088
-0.002198	0.005197	0.020559	17.232811	0.202873	0							0.022757	-0.000872
-0.001703	0.006199	0.021549	17.233097	0.207825	0							0.023252	-0.000865
-0.001208	0.006862	0.022538	17.2334	0.212778	0							0.023747	-0.000858
-0.000714	0.007818	0.023528	17.233736	0.217731	0							0.024241	-0.000851
-0.000219	0.018469	0.024517	17.23398	0.222684	0							0.024736	-0.000844
0.000276	0.01973	0.025506	17.234291	0.227636	0							0.025231	-0.000837
0.000771	0.020202	0.026496	17.23464	0.232589	0							0.025725	-0.00083
0.001265	0.016044	0.027485	17.235054	0.237542	0							0.02622	-0.000823
0.00176	0.015547	0.028475	17.235468	0.242495	0							0.026715	-0.000816
0.002255	0.015506	0.029464	17.235905	0.247448	0							0.02721	-0.000809
0.002749	0.01836	0.030454	17.236292	0.2524	0							0.027704	-0.000803
0.003244	0.016709	0.031443	17.236792	0.257353	0							0.028199	-0.000796
0.003739	0.018983	0.032433	17.237328	0.262306	0							0.028694	-0.000789
0.004234	0.019211	0.033422	17.237875	0.267259	0							0.029188	-0.000782
0.004728	0.02137	0.034411	17.238226	0.272211	0							0.029683	-0.000775
0.005223	0.022552	0.035401	17.238319	0.277164	0							0.030178	-0.000768
0.005718	0.025105	0.03639	17.237951	0.282117	0							0.030673	-0.000761
0.006212	0.02197	0.03738	17.237244	0.28707	0							0.031167	-0.000754
0.006707	0.021792	0.038369	17.236303	0.292022	0							0.031662	-0.000747
0.007202	0.019944	0.039359	17.235128	0.296975	0							0.032157	-0.00074
0.007697	0.015514	0.040348	17.233814	0.301928	0							0.032651	-0.000733
0.008191	0.014748	0.041337	17.232405	0.306881	0							0.033146	-0.000726
0.008686	0.016817	0.042327	17.231014	0.311834	0							0.033641	-0.000719
0.009181	0.018129	0.043316	17.229609	0.316786	0							0.034136	-0.000711
0.009675	0.01202	0.044306	17.2283	0.321739	0							0.03463	-0.000704
0.01017	0.00756	0.045295	17.227047	0.326692	0							0.035125	-0.000697
0.010665	0.006552	0.046285	17.226	0.331645	0							0.03562	-0.00069
0.01116	0.00622	0.047274	17.22514	0.336597	0							0.036114	-0.000682
0.011654	0.007748	0.048264	17.224388	0.34155	0							0.036609	-0.000675
0.012149	0.010764	0.049253	17.223791	0.346503	0							0.037104	-0.000668
0.012644	0.013852	0.050242	17.223309	0.351456	0							0.037599	-0.000661
0.013139	0.015296	0.051232	17.222878	0.356409	0							0.038093	-0.000653
0.013633	0.01359	0.052221	17.222616	0.361361	0							0.038588	-0.000646
0.014128	0.010529	0.053211	17.222256	0.366314	0							0.039083	-0.000639
0.014623	0.015552	0.0542	17.222044	0.371267	0							0.039578	-0.000631
0.015117	0.018639	0.05519	17.221914	0.37622	0							0.040072	-0.001748
0.015612	0.020183	0.056179	17.221918	0.381172	0							0.040567	-0.003738
0.016107	0.021024	0.057168	17.221922	0.386125	0							0.041062	-0.00665
0.016602	0.019641	0.058158	17.221918	0.391078	0							0.041556	-0.007027
0.017096	0.021549	0.059147	17.221987	0.396031	0							0.042051	-0.001191
0.017591	0.019932	0.060137	17.221958	0.400983	0							0.042546	-0.000587
0.018086	0.016058	0.061126	17.221912	0.405936	0							0.043041	-0.00058
0.01858	0.016722	0.062116	17.22193	0.410889	0							0.043535	-0.000572
0.019075	0.019461	0.063105	17.221863	0.415842	0							0.04403	-0.000565
0.01957	0.017728	0.064095	17.221691	0.420795	0							0.044525	-0.000557
0.020065	0.014321	0.065084	17.2215	0.425747	0							0.045019	-0.000551
0.020559	0.013265	0.066073	17.221218	0.4307	0							0.045514	-0.000544
0.021054	0.013216	0.067063	17.220978	0.435653	0							0.046009	-0.000538
0.021549	0.011595	0.068052	17.220554	0.440606	0							0.046504	-0.000531
0.022043	0.010396	0.069042	17.220066	0.445558	0							0.046998	-0.000524
0.022538	0.010216	0.070031	17.219627	0.450511	0							0.047493	-0.000518
