Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
-0.024809	0	-0.024809	17.080929	-0.024809	0	-0.000071	""	-0.024809	"Method Settings"	-0.000429	"1.A.1"	0	-0.071785
-0.024314	0.061343	-0.02382	17.082752	-0.019856	0			-0.024724	"Equilibration"	0.10052	"Waste(Frac)"	0.000495	-0.071785
-0.02382	0.064457	-0.02283	17.082745	-0.014903	0			-0.005596	"Sample Application"	0.108715	"1.A.2"	0.00099	-0.071785
-0.023325	0.063874	-0.021841	17.082863	-0.00995	0			0.101017	"Elution"	0.308995	"1.A.3"	0.001484	-0.071785
-0.02283	0.060795	-0.020851	17.083027	-0.004997	0					0.509053	"1.A.4"	0.001979	-0.071785
-0.022335	0.05856	-0.019862	17.082993	-0.000043	0					0.709124	"1.A.5"	0.002474	-0.071785
-0.021841	0.058536	-0.018872	17.087231	0.00491	0					0.909161	"1.A.6"	0.002969	-0.071785
-0.021346	0.056581	-0.017883	17.094007	0.009863	0					1.108999	"1.A.7"	0.003463	-0.071785
-0.020851	0.058162	-0.016893	17.093824	0.014816	0					1.309056	"1.A.8"	0.003958	-0.071785
-0.020356	0.051943	-0.015904	17.093822	0.019769	0					1.509113	"1.A.9"	0.004453	-0.071785
-0.019862	0.053339	-0.014914	17.094109	0.024722	0					1.709153	"1.A.10"	0.004948	-0.071785
-0.019367	0.051748	-0.013925	17.09495	0.029675	0					1.908993	"1.A.11"	0.005442	-0.071785
-0.018872	0.050987	-0.012935	17.09597	0.034628	0					2.109051	"1.A.12"	0.005937	-0.071785
-0.018377	0.061186	-0.011945	17.09667	0.039582	0					2.309099	"1.B.1"	0.006432	-0.071785
-0.017883	0.072083	-0.010956	17.096859	0.044535	0					2.509142	"1.B.2"	0.006927	-0.071785
-0.017388	0.069242	-0.009966	17.096588	0.049488	0					2.70897	"1.B.3"	0.007421	-0.071785
-0.016893	0.064987	-0.008977	17.096025	0.054441	0					2.909039	"1.B.4"	0.007916	-0.071785
-0.016398	0.061699	-0.007987	17.095327	0.059394	0					3.046629	"Waste(Frac)"	0.008411	-0.071785
-0.015904	0.059564	-0.006998	17.094645	0.064347	0					3.047128	"Waste(Frac)"	0.008906	-0.071785
-0.015409	0.057977	-0.006008	17.094044	0.0693	0							0.0094	-0.071785
-0.014914	0.057339	-0.005019	17.093508	0.074253	0							0.009895	-0.071785
-0.014419	0.054436	-0.004029	17.093027	0.079207	0							0.01039	-0.071785
-0.013925	0.049545	-0.00304	17.092571	0.08416	0							0.010885	-0.071785
-0.01343	0.049682	-0.00205	17.092211	0.089113	0							0.011379	-0.071785
-0.012935	0.046506	-0.001061	17.092083	0.094066	0							0.011874	-0.071785
-0.01244	0.050756	-0.000071	17.097706	0.099019	0							0.012369	-0.071785
-0.011945	0.053772	0.000918	17.108246	0.103972	0							0.012864	-0.071785
-0.011451	0.054736	0.001908	17.108765	0.108925	0							0.013358	-0.071785
-0.010956	0.052359	0.002897	17.109299	0.113879	0							0.013853	-0.071785
-0.010461	0.05636	0.003887	17.109898	0.118832	0							0.014348	-0.071785
-0.009966	0.06172	0.004876	17.110554	0.123785	0							0.014843	-0.071785
-0.009472	0.063219	0.005866	17.111244	0.128738	0							0.015337	-0.071785
-0.008977	0.067933	0.006855	17.11195	0.133691	0							0.015832	-0.071785
-0.008482	0.067956	0.007845	17.112698	0.138644	0							0.016327	-0.071785
-0.007987	0.069788	0.008834	17.113455	0.143597	0							0.016822	-0.071785
-0.007493	0.070887	0.009824	17.11434	0.14855	0							0.017316	-0.071785
-0.006998	0.060449	0.010813	17.115395	0.153504	0							0.017811	-0.071785
-0.006503	0.000642	0.011803	17.116468	0.158457	0							0.018306	-0.071785
-0.006008	0.003105	0.012792	17.117521	0.16341	0							0.018801	-0.071785
-0.005514	-0.000627	0.013782	17.118557	0.168363	0							0.019295	-0.071785
-0.005019	-0.003611	0.014771	17.119143	0.173316	0							0.01979	-0.071785
-0.004524	-0.003616	0.015761	17.119286	0.178269	0							0.020285	-0.071785
-0.004029	-0.007628	0.01675	17.119137	0.183222	0							0.02078	-0.071785
-0.003535	-0.008765	0.01774	17.118629	0.188175	0							0.021274	-0.071785
-0.00304	-0.004862	0.018729	17.117964	0.193129	0							0.021769	-0.071785
-0.002545	-0.004908	0.019719	17.117212	0.198082	0							0.022264	-0.071785
-0.00205	-0.002773	0.020708	17.116371	0.203035	0							0.022759	-0.071785
-0.001556	-0.00325	0.021698	17.115562	0.207988	0							0.023254	-0.071785
-0.001061	-0.004487	0.022687	17.114796	0.212941	0							0.023748	-0.071785
-0.000566	-0.000122	0.023677	17.114132	0.217894	0							0.024243	-0.071785
-0.000071	-0.000766	0.024666	17.113621	0.222847	0							0.024738	-0.071785
0.000423	-0.013563	0.025656	17.113159	0.227801	0							0.025233	-0.071785
0.000918	-0.01296	0.026645	17.112837	0.232754	0							0.025727	-0.071785
0.001413	-0.014829	0.027635	17.112785	0.237707	0							0.026222	-0.071785
0.001908	-0.016633	0.028624	17.112919	0.24266	0							0.026717	-0.071785
0.002402	-0.013422	0.029614	17.113178	0.247613	0							0.027212	-0.071785
0.002897	-0.01101	0.030603	17.1134	0.252566	0							0.027706	-0.071785
0.003392	-0.011089	0.031593	17.11376	0.257519	0							0.028201	-0.071785
0.003887	-0.010103	0.032582	17.114096	0.262472	0							0.028696	-0.071785
0.004381	-0.012441	0.033572	17.11463	0.267426	0							0.029191	-0.071785
0.004876	-0.016488	0.034561	17.115173	0.272379	0							0.029685	-0.071785
0.005371	-0.017077	0.035551	17.115675	0.277332	0							0.03018	-0.071785
0.005866	-0.014921	0.03654	17.116186	0.282285	0							0.030675	-0.071785
0.00636	-0.013538	0.03753	17.116789	0.287238	0							0.03117	-0.071785
0.006855	-0.012477	0.03852	17.11739	0.292191	0							0.031664	-0.071785
0.00735	-0.013121	0.039509	17.117863	0.297144	0							0.032159	-0.071785
0.007845	-0.015745	0.040499	17.118338	0.302097	0							0.032654	-0.071785
0.008339	-0.015235	0.041488	17.118641	0.307051	0							0.033149	-0.071785
0.008834	-0.012078	0.042478	17.118732	0.312004	0							0.033643	-0.071785
0.009329	-0.009361	0.043467	17.11878	0.316957	0							0.034138	-0.071785
0.009824	-0.007023	0.044457	17.118731	0.32191	0							0.034633	-0.071785
0.010319	-0.00633	0.045446	17.11861	0.326863	0							0.035128	-0.071785
0.010813	-0.009861	0.046436	17.118427	0.331816	0							0.035622	-0.071785
0.011308	-0.013685	0.047425	17.118176	0.336769	0							0.036117	-0.071785
0.011803	-0.013422	0.048415	17.117874	0.341723	0							0.036612	-0.071785
0.012298	-0.014712	0.049404	17.117502	0.346676	0							0.037107	-0.071785
0.012792	-0.01701	0.050394	17.117041	0.351629	0							0.037601	-0.071785
0.013287	-0.017903	0.051383	17.116476	0.356582	0							0.038096	-0.071785
0.013782	-0.020067	0.052373	17.115923	0.361535	0							0.038591	-0.071785
0.014277	-0.019829	0.053362	17.115318	0.366488	0							0.039086	-0.071785
0.014771	-0.021607	0.054352	17.114731	0.371441	0							0.03958	-0.071785
0.015266	-0.020697	0.055341	17.114187	0.376394	0							0.040075	-0.071785
0.015761	-0.018432	0.056331	17.113564	0.381348	0							0.04057	-0.071785
0.016256	-0.015444	0.05732	17.112968	0.386301	0							0.041065	-0.071785
0.01675	-0.014235	0.05831	17.112289	0.391254	0							0.041559	-0.071785
0.017245	-0.01079	0.059299	17.111589	0.396207	0							0.042054	-0.071785
0.01774	-0.007197	0.060289	17.110916	0.40116	0							0.042549	-0.071785
0.018235	-0.006504	0.061278	17.110371	0.406113	0							0.043044	-0.071785
0.018729	-0.00776	0.062268	17.109808	0.411066	0							0.043538	-0.071785
0.019224	-0.013701	0.063257	17.10914	0.416019	0							0.044033	-0.071785
0.019719	-0.010634	0.064247	17.108538	0.420973	0							0.044528	-0.071785
0.020214	-0.011813	0.065236	17.107946	0.425926	0							0.045023	-0.071785
0.020708	-0.013105	0.066226	17.107327	0.430879	0							0.045518	-0.071785
0.021203	-0.01859	0.067215	17.1066	0.435832	0							0.046012	-0.071785
0.021698	-0.019402	0.068205	17.105822	0.440785	0							0.046507	-0.071785
0.022193	-0.020436	0.069194	17.105122	0.445738	0							0.047002	-0.071785
0.022687	-0.021497	0.070184	17.104456	0.450691	0							0.047497	-0.071785
