Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
-0.024755	0	-0.024755	17.26494	-0.024755	0	-0.00002	""	-0.024755	"Method Settings"	-0.00042	"1.A.1"	0	-0.015221
-0.02426	0.033433	-0.023766	17.265696	-0.019809	0			-0.02466	"Equilibration"	0.100404	"Waste(Frac)"	0.000495	-0.015221
-0.023766	0.034146	-0.022776	17.265537	-0.014863	0			-0.005411	"Sample Application"	0.108365	"1.A.2"	0.000989	-0.015221
-0.023271	0.041097	-0.021787	17.265484	-0.009917	0			0.100899	"Elution"	0.308383	"1.A.3"	0.001484	-0.015221
-0.022776	0.040016	-0.020798	17.265526	-0.004971	0					0.508448	"1.A.4"	0.001979	-0.015221
-0.022282	0.040391	-0.019808	17.26572	-0.000024	0					0.708776	"1.A.5"	0.002473	-0.015221
-0.021787	0.039301	-0.018819	17.266834	0.004922	0					0.908337	"1.A.6"	0.002968	-0.015221
-0.021292	0.034326	-0.017829	17.268692	0.009868	0					1.108372	"1.A.7"	0.003463	-0.015221
-0.020797	0.034192	-0.01684	17.268669	0.014814	0					1.308426	"1.A.8"	0.003958	-0.015221
-0.020303	0.033473	-0.015851	17.268753	0.01976	0					1.508764	"1.A.9"	0.004452	-0.015221
-0.019808	0.033548	-0.014861	17.268778	0.024706	0					1.708806	"1.A.10"	0.004947	-0.015221
-0.019313	0.035797	-0.013872	17.268911	0.029652	0					1.908858	"1.A.11"	0.005442	-0.015221
-0.018819	0.038435	-0.012882	17.269207	0.034598	0					2.108914	"1.A.12"	0.005936	-0.015221
-0.018324	0.037669	-0.011893	17.269598	0.039545	0					2.308755	"1.B.1"	0.006431	-0.015221
-0.017829	0.04094	-0.010904	17.269978	0.044491	0					2.508803	"1.B.2"	0.006926	-0.015221
-0.017335	0.039039	-0.009914	17.270079	0.049437	0					2.708867	"1.B.3"	0.00742	-0.015221
-0.01684	0.034933	-0.008925	17.269697	0.054383	0					2.908916	"1.B.4"	0.007915	-0.015221
-0.016345	0.036507	-0.007936	17.268858	0.059329	0					3.046281	"Waste(Frac)"	0.00841	-0.015221
-0.015851	0.037145	-0.006946	17.267637	0.064275	0					3.046785	"Waste(Frac)"	0.008904	-0.015221
-0.015356	0.035066	-0.005957	17.266079	0.069221	0							0.009399	-0.015221
-0.014861	0.040233	-0.004967	17.264252	0.074167	0							0.009894	-0.015221
-0.014367	0.043181	-0.003978	17.262207	0.079113	0							0.010389	-0.015221
-0.013872	0.044274	-0.002989	17.260035	0.08406	0							0.010883	-0.015221
-0.013377	0.04091	-0.001999	17.257828	0.089006	0							0.011378	-0.015221
-0.012882	0.039438	-0.00101	17.255798	0.093952	0							0.011873	-0.015221
-0.012388	0.039717	-0.000021	17.247391	0.098898	0							0.012367	-0.015221
-0.011893	0.043172	0.000969	17.248461	0.103844	0							0.012862	-0.015221
-0.011398	0.042126	0.001958	17.249081	0.10879	0							0.013357	-0.015221
-0.010904	0.037604	0.002948	17.249615	0.113736	0							0.013851	-0.015221
-0.010409	0.041179	0.003937	17.250166	0.118682	0							0.014346	-0.015221
-0.009914	0.039831	0.004926	17.250711	0.123629	0							0.014841	-0.015221
-0.00942	0.036579	0.005916	17.251284	0.128575	0							0.015335	-0.015221
-0.008925	0.034583	0.006905	17.251862	0.133521	0							0.01583	-0.015221
-0.00843	0.037476	0.007895	17.252411	0.138467	0							0.016325	-0.015221
-0.007936	0.042454	0.008884	17.253004	0.143413	0							0.01682	-0.015221
-0.007441	0.045381	0.009873	17.253616	0.148359	0							0.017314	-0.015221
-0.006946	0.04611	0.010863	17.254198	0.153305	0							0.017809	-0.015221
-0.006451	0.003739	0.011852	17.254749	0.158251	0							0.018304	-0.015221
-0.005957	0.003926	0.012841	17.255289	0.163198	0							0.018798	-0.015221
-0.005462	0.000446	0.013831	17.255739	0.168144	0							0.019293	-0.015221
-0.004967	-0.000342	0.01482	17.256178	0.17309	0							0.019788	-0.015726
-0.004473	-0.00093	0.01581	17.256643	0.178036	0							0.020282	-0.017405
-0.003978	0.001028	0.016799	17.257158	0.182982	0							0.020777	-0.015221
-0.003483	0.001877	0.017788	17.257706	0.187928	0							0.021272	-0.015221
-0.002989	0.000074	0.018778	17.258265	0.192874	0							0.021766	-0.015221
-0.002494	-0.005418	0.019767	17.258778	0.19782	0							0.022261	-0.015221
-0.001999	-0.007185	0.020756	17.259245	0.202766	0							0.022756	-0.015221
-0.001505	-0.003794	0.021746	17.259716	0.207713	0							0.023251	-0.015221
-0.00101	-0.003938	0.022735	17.260204	0.212659	0							0.023745	-0.015221
-0.000515	-0.006775	0.023725	17.260597	0.217605	0							0.02424	-0.015221
-0.00002	0.005763	0.024714	17.260975	0.222551	0							0.024735	-0.015221
0.000474	-0.004705	0.025703	17.261248	0.227497	0							0.025229	-0.015221
0.000969	0.000499	0.026693	17.261545	0.232443	0							0.025724	-0.015221
0.001464	0.002915	0.027682	17.261646	0.237389	0							0.026219	-0.015221
0.001958	0.0023	0.028672	17.261635	0.242335	0							0.026713	-0.015221
0.002453	0.001909	0.029661	17.261471	0.247282	0							0.027208	-0.015221
0.002948	0.001587	0.03065	17.261082	0.252228	0							0.027703	-0.015221
0.003442	0.002035	0.03164	17.26049	0.257174	0							0.028197	-0.015221
0.003937	-0.001038	0.032629	17.259916	0.26212	0							0.028692	-0.015221
0.004432	-0.002818	0.033618	17.259279	0.267066	0							0.029187	-0.015221
0.004926	0.000297	0.034608	17.258425	0.272012	0							0.029681	-0.016478
0.005421	0.003534	0.035597	17.257374	0.276958	0							0.030176	-0.015221
0.005916	0.003589	0.036587	17.256277	0.281904	0							0.030671	-0.015221
0.006411	0.006189	0.037576	17.255211	0.286851	0							0.031166	-0.015221
0.006905	0.003062	0.038565	17.25407	0.291797	0							0.03166	-0.016404
0.0074	0.003201	0.039555	17.25289	0.296743	0							0.032155	-0.018643
0.007895	0.00358	0.040544	17.251884	0.301689	0							0.03265	-0.01893
0.008389	0.00318	0.041533	17.250919	0.306635	0							0.033144	-0.015221
0.008884	0.006301	0.042523	17.249983	0.311581	0							0.033639	-0.015221
0.009379	0.008672	0.043512	17.249065	0.316527	0							0.034134	-0.015221
0.009873	0.00655	0.044502	17.248318	0.321473	0							0.034628	-0.015221
0.010368	0.003737	0.045491	17.247709	0.326419	0							0.035123	-0.015221
0.010863	0.00511	0.04648	17.247299	0.331366	0							0.035618	-0.015221
0.011357	0.005885	0.04747	17.246889	0.336312	0							0.036112	-0.015221
0.011852	0.011113	0.048459	17.246424	0.341258	0							0.036607	-0.015221
0.012347	0.015099	0.049448	17.245958	0.346204	0							0.037102	-0.015221
0.012842	0.013975	0.050438	17.245638	0.35115	0							0.037597	-0.015221
0.013336	0.012147	0.051427	17.245396	0.356096	0							0.038091	-0.015221
0.013831	0.010891	0.052417	17.24526	0.361042	0							0.038586	-0.015619
0.014326	0.011477	0.053406	17.245008	0.365988	0							0.039081	-0.015221
0.01482	0.012312	0.054395	17.244764	0.370935	0							0.039575	-0.015221
0.015315	0.011994	0.055385	17.244635	0.375881	0							0.04007	-0.015221
0.01581	0.006871	0.056374	17.244459	0.380827	0							0.040565	-0.015221
0.016304	0.002537	0.057364	17.244244	0.385773	0							0.041059	-0.015221
0.016799	-0.001301	0.058353	17.244001	0.390719	0							0.041554	-0.015221
0.017294	-0.005452	0.059342	17.24379	0.395665	0							0.042049	-0.015221
0.017788	-0.006688	0.060332	17.243593	0.400611	0							0.042543	-0.015221
0.018283	-0.005452	0.061321	17.243296	0.405557	0							0.043038	-0.015221
0.018778	-0.007988	0.06231	17.242989	0.410504	0							0.043533	-0.015221
0.019273	-0.012225	0.0633	17.242662	0.41545	0							0.044028	-0.015221
0.019767	-0.015726	0.064289	17.242107	0.420396	0							0.044522	-0.015221
0.020262	-0.017405	0.065279	17.241476	0.425342	0							0.045017	-0.015221
0.020757	-0.015015	0.066268	17.240736	0.430288	0							0.045512	-0.015221
0.021251	-0.012908	0.067257	17.239929	0.435234	0							0.046006	-0.015221
0.021746	-0.011507	0.068247	17.239079	0.44018	0							0.046501	-0.015221
0.022241	-0.011161	0.069236	17.238167	0.445126	0							0.046996	-0.015221
0.022735	-0.011442	0.070225	17.237141	0.450072	0							0.04749	-0.015221
0.02323	-0.009328	0.071215	17.236057	0.455019	0							0.047985	-0.015221
