Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
-0.024986	0	-0.024986	17.267721	-0.024986	0	0.000247	""	-0.024986	"Method Settings"	-0.000412	"1.A.1"	0	-0.015483
-0.024491	0.030697	-0.023997	17.270077	-0.02003	0			-0.02489	"Equilibration"	0.100159	"Waste(Frac)"	0.000495	-0.01548
-0.023997	0.02687	-0.023007	17.270121	-0.015073	0			-0.005432	"Sample Application"	0.108139	"1.A.2"	0.00099	-0.015476
-0.023502	0.028588	-0.022017	17.270258	-0.010117	0			0.100659	"Elution"	0.308435	"1.A.3"	0.001484	-0.015473
-0.023007	0.030669	-0.021028	17.270393	-0.00516	0					0.508478	"1.A.4"	0.001979	-0.01547
-0.022512	0.032712	-0.020038	17.270132	-0.000204	0					0.708522	"1.A.5"	0.002474	-0.015466
-0.022017	0.034696	-0.019049	17.2717	0.004753	0					0.908576	"1.A.6"	0.002969	-0.015463
-0.021523	0.038499	-0.018059	17.275177	0.009709	0					1.108412	"1.A.7"	0.003463	-0.01546
-0.021028	0.037122	-0.01707	17.274954	0.014666	0					1.308455	"1.A.8"	0.003958	-0.015456
-0.020533	0.034851	-0.01608	17.275049	0.019622	0					1.50851	"1.A.9"	0.004453	-0.015453
-0.020038	0.038619	-0.015091	17.275452	0.024578	0					1.708563	"1.A.10"	0.004948	-0.01545
-0.019544	0.039308	-0.014101	17.27622	0.029535	0					1.908403	"1.A.11"	0.005442	-0.015446
-0.019049	0.040851	-0.013112	17.277126	0.034491	0					2.108445	"1.A.12"	0.005937	-0.015443
-0.018554	0.052047	-0.012122	17.27751	0.039448	0					2.308511	"1.B.1"	0.006432	-0.01544
-0.018059	0.054021	-0.011133	17.277163	0.044404	0					2.508568	"1.B.2"	0.006927	-0.015436
-0.017565	0.051766	-0.010143	17.276188	0.049361	0					2.708887	"1.B.3"	0.007422	-0.015433
-0.01707	0.050747	-0.009153	17.274763	0.054317	0					2.908932	"1.B.4"	0.007916	-0.015429
-0.016575	0.050684	-0.008164	17.273144	0.059274	0					3.046044	"Waste(Frac)"	0.008411	-0.015426
-0.01608	0.050133	-0.007174	17.271383	0.06423	0					3.046541	"Waste(Frac)"	0.008906	-0.015422
-0.015585	0.052717	-0.006185	17.269619	0.069187	0							0.009401	-0.015419
-0.015091	0.053622	-0.005195	17.267876	0.074143	0							0.009895	-0.015416
-0.014596	0.052771	-0.004206	17.266212	0.079099	0							0.01039	-0.015412
-0.014101	0.050333	-0.003216	17.264843	0.084056	0							0.010885	-0.015409
-0.013606	0.048198	-0.002227	17.263769	0.089012	0							0.01138	-0.015406
-0.013112	0.042442	-0.001237	17.262819	0.093969	0							0.011874	-0.015402
-0.012617	0.041216	-0.000248	17.26025	0.098925	0							0.012369	-0.015399
-0.012122	0.040567	0.000742	17.262047	0.103882	0							0.012864	-0.015396
-0.011627	0.041058	0.001731	17.262688	0.108838	0							0.013359	-0.015392
-0.011133	0.041376	0.002721	17.263266	0.113795	0							0.013854	-0.015389
-0.010638	0.038467	0.003711	17.263849	0.118751	0							0.014348	-0.015386
-0.010143	0.037061	0.0047	17.264435	0.123708	0							0.014843	-0.015382
-0.009648	0.039988	0.00569	17.265116	0.128664	0							0.015338	-0.015379
-0.009153	0.041846	0.006679	17.265762	0.13362	0							0.015833	-0.015375
-0.008659	0.043299	0.007669	17.266401	0.138577	0							0.016327	-0.015372
-0.008164	0.043308	0.008658	17.267189	0.143533	0							0.016822	-0.015368
-0.007669	0.042737	0.009648	17.268044	0.14849	0							0.017317	-0.015365
-0.007174	0.040951	0.010637	17.268892	0.153446	0							0.017812	-0.015362
-0.00668	0.017944	0.011627	17.269842	0.158403	0							0.018306	-0.015358
-0.006185	0.000396	0.012616	17.270876	0.163359	0							0.018801	-0.015355
-0.00569	0.000388	0.013606	17.271881	0.168316	0							0.019296	-0.015351
-0.005195	-0.000134	0.014595	17.272615	0.173272	0							0.019791	-0.015348
-0.004701	-0.002836	0.015585	17.272778	0.178228	0							0.020286	-0.015345
-0.004206	-0.006273	0.016575	17.272493	0.183185	0							0.02078	-0.015341
-0.003711	-0.006315	0.017564	17.271826	0.188141	0							0.021275	-0.015338
-0.003216	-0.004993	0.018554	17.270815	0.193098	0							0.02177	-0.015335
-0.002721	-0.00451	0.019543	17.269684	0.198054	0							0.022265	-0.015332
-0.002227	-0.0064	0.020533	17.268482	0.203011	0							0.022759	-0.015329
-0.001732	-0.007094	0.021522	17.267237	0.207967	0							0.023254	-0.015326
-0.001237	-0.008084	0.022512	17.265898	0.212924	0							0.023749	-0.015323
-0.000742	-0.007725	0.023501	17.264603	0.21788	0							0.024244	-0.01532
-0.000248	0.009824	0.024491	17.263359	0.222837	0							0.024738	-0.015317
0.000247	0.004148	0.02548	17.262331	0.227793	0							0.025233	-0.015313
0.000742	0.007936	0.02647	17.261454	0.232749	0							0.025728	-0.01531
0.001237	0.007213	0.027459	17.260612	0.237706	0							0.026223	-0.015306
0.001731	0.004529	0.028449	17.260052	0.242662	0							0.026718	-0.015302
0.002226	0.004618	0.029439	17.259539	0.247619	0							0.027212	-0.015299
0.002721	0.003141	0.030428	17.259092	0.252575	0							0.027707	-0.015295
0.003216	0.005284	0.031418	17.258728	0.257532	0							0.028202	-0.015292
0.003711	0.007891	0.032407	17.258354	0.262488	0							0.028697	-0.015288
0.004205	0.009748	0.033397	17.258062	0.267445	0							0.029191	-0.015284
0.0047	0.008307	0.034386	17.257788	0.272401	0							0.029686	-0.015281
0.005195	0.007533	0.035376	17.257475	0.277358	0							0.030181	-0.015277
0.00569	0.004053	0.036365	17.257277	0.282314	0							0.030676	-0.015274
0.006184	0.00526	0.037355	17.257132	0.28727	0							0.03117	-0.015271
0.006679	0.00778	0.038344	17.256903	0.292227	0							0.031665	-0.015267
0.007174	0.00848	0.039334	17.256653	0.297183	0							0.03216	-0.015264
0.007669	0.01018	0.040323	17.256351	0.30214	0							0.032655	-0.01526
0.008163	0.009224	0.041313	17.256054	0.307096	0							0.03315	-0.015257
0.008658	0.01012	0.042303	17.255735	0.312053	0							0.033644	-0.015254
0.009153	0.007535	0.043292	17.2554	0.317009	0							0.034139	-0.01525
0.009648	0.007721	0.044282	17.25502	0.321966	0							0.034634	-0.015247
0.010143	0.007715	0.045271	17.254503	0.326922	0							0.035129	-0.015243
0.010637	0.012316	0.046261	17.253939	0.331879	0							0.035623	-0.01524
0.011132	0.013887	0.04725	17.253307	0.336835	0							0.036118	-0.015237
0.011627	0.013345	0.04824	17.252541	0.341791	0							0.036613	-0.015233
0.012122	0.010895	0.049229	17.251766	0.346748	0							0.037108	-0.01523
0.012616	0.010573	0.050219	17.250957	0.351704	0							0.037602	-0.015226
0.013111	0.014483	0.051208	17.250101	0.356661	0							0.038097	-0.015223
0.013606	0.011539	0.052198	17.24922	0.361617	0							0.038592	-0.015219
0.014101	0.012472	0.053187	17.248268	0.366574	0							0.039087	-0.015216
0.014595	0.012179	0.054177	17.247292	0.37153	0							0.039582	-0.015212
0.01509	0.012768	0.055167	17.246292	0.376487	0							0.040076	-0.015209
0.015585	0.008463	0.056156	17.245218	0.381443	0							0.040571	-0.015206
0.01608	0.003399	0.057146	17.244118	0.3864	0							0.041066	-0.015203
0.016575	-0.000358	0.058135	17.242947	0.391356	0							0.041561	-0.0152
0.017069	-0.000162	0.059125	17.241692	0.396312	0							0.042055	-0.015197
0.017564	-0.000246	0.060114	17.240431	0.401269	0							0.04255	-0.015194
0.018059	-0.00232	0.061104	17.239159	0.406225	0							0.043045	-0.015191
0.018554	0.00047	0.062093	17.237789	0.411182	0							0.04354	-0.015187
0.019048	0.002114	0.063083	17.236404	0.416138	0							0.044034	-0.015184
0.019543	0.00542	0.064072	17.235069	0.421095	0							0.044529	-0.015181
0.020038	0.004204	0.065062	17.233679	0.426051	0							0.045024	-0.015178
0.020533	0.00469	0.066051	17.232233	0.431008	0							0.045519	-0.015174
0.021027	0.012671	0.067041	17.230713	0.435964	0							0.046014	-0.015171
0.021522	0.014146	0.068031	17.229261	0.440921	0							0.046508	-0.015167
0.022017	0.012863	0.06902	17.227854	0.445877	0							0.047003	-0.015164
0.022512	0.007418	0.07001	17.226358	0.450833	0							0.047498	-0.01516
0.023007	0.005337	0.070999	17.224798	0.45579	0							0.047993	-0.015157
