Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
-0.0247	-0.228833	-0.0247	17.285677	-0.0247	0	0.000036	""	-0.0247	"Method Settings"	-0.000403	"1.A.1"	0	-0.035321
-0.024205	-0.194544	-0.02371	17.286364	-0.019751	0			-0.024605	"Equilibration"	0.100609	"Waste(Frac)"	0.000495	-0.035321
-0.02371	-0.190341	-0.02272	17.28643	-0.014802	0			-0.00538	"Sample Application"	0.10858	"1.A.2"	0.000989	-0.035321
-0.023215	-0.189256	-0.021731	17.286377	-0.009853	0			0.101112	"Elution"	0.308623	"1.A.3"	0.001484	-0.035321
-0.022721	-0.185166	-0.020741	17.286348	-0.004905	0					0.508659	"1.A.4"	0.001979	-0.035321
-0.022226	-0.185752	-0.019752	17.286428	0.000044	0					0.708985	"1.A.5"	0.002474	-0.035321
-0.021731	-0.182855	-0.018762	17.28644	0.004993	0					0.909057	"1.A.6"	0.002968	-0.035321
-0.021237	-0.181067	-0.017772	17.288813	0.009942	0					1.109099	"1.A.7"	0.003463	-0.035321
-0.020742	-0.181211	-0.016783	17.28874	0.01489	0					1.308651	"1.A.8"	0.003958	-0.035321
-0.020247	-0.187237	-0.015793	17.288733	0.019839	0					1.508975	"1.A.9"	0.004452	-0.035321
-0.019752	-0.19004	-0.014804	17.288782	0.024788	0					1.709044	"1.A.10"	0.004947	-0.035321
-0.019258	-0.193359	-0.013814	17.288774	0.029737	0					1.909088	"1.A.11"	0.005442	-0.035321
-0.018763	-0.195207	-0.012824	17.288858	0.034685	0					2.109155	"1.A.12"	0.005937	-0.035321
-0.018268	-0.194264	-0.011835	17.288921	0.039634	0					2.308975	"1.B.1"	0.006431	-0.035321
-0.017774	-0.194619	-0.010845	17.288971	0.044583	0					2.509024	"1.B.2"	0.006926	-0.035321
-0.017279	-0.195932	-0.009856	17.289171	0.049532	0					2.709076	"1.B.3"	0.007421	-0.035321
-0.016784	-0.19912	-0.008866	17.289373	0.05448	0					2.90914	"1.B.4"	0.007915	-0.035321
-0.016289	-0.193196	-0.007876	17.289557	0.059429	0					3.046506	"Waste(Frac)"	0.00841	-0.035321
-0.015795	-0.195982	-0.006887	17.289803	0.064378	0					3.047009	"Waste(Frac)"	0.008905	-0.035321
-0.0153	-0.198474	-0.005897	17.290091	0.069327	0							0.0094	-0.035321
-0.014805	-0.197724	-0.004908	17.289989	0.074275	0							0.009894	-0.035321
-0.014311	-0.200124	-0.003918	17.289227	0.079224	0							0.010389	-0.035321
-0.013816	-0.199722	-0.002929	17.287836	0.084173	0							0.010884	-0.035321
-0.013321	-0.194053	-0.001939	17.2861	0.089122	0							0.011379	-0.035321
-0.012826	-0.191646	-0.000949	17.284058	0.09407	0							0.011873	-0.035321
-0.012332	-0.190841	0.00004	17.268204	0.099019	0							0.012368	-0.035321
-0.011837	-0.192265	0.00103	17.26907	0.103968	0							0.012863	-0.035321
-0.011342	-0.192334	0.002019	17.269787	0.108917	0							0.013357	-0.035321
-0.010848	-0.189563	0.003009	17.270473	0.113865	0							0.013852	-0.035321
-0.010353	-0.191018	0.003999	17.271145	0.118814	0							0.014347	-0.035321
-0.009858	-0.191051	0.004988	17.271835	0.123763	0							0.014842	-0.035321
-0.009363	-0.190007	0.005978	17.27243	0.128712	0							0.015336	-0.035321
-0.008869	-0.184921	0.006967	17.273048	0.13366	0							0.015831	-0.035321
-0.008374	-0.186856	0.007957	17.273809	0.138609	0							0.016326	-0.035321
-0.007879	-0.188276	0.008947	17.274475	0.143558	0							0.01682	-0.035321
-0.007384	-0.186664	0.009936	17.275099	0.148507	0							0.017315	-0.035321
-0.00689	-0.184879	0.010926	17.275723	0.153455	0							0.01781	-0.035321
-0.006395	-0.007002	0.011915	17.276354	0.158404	0							0.018305	-0.035321
-0.0059	0.002541	0.012905	17.276953	0.163353	0							0.018799	-0.035321
-0.005406	0.000133	0.013895	17.277309	0.168302	0							0.019294	-0.035321
-0.004911	-0.003046	0.014884	17.277527	0.17325	0							0.019789	-0.035321
-0.004416	-0.003689	0.015874	17.27742	0.178199	0							0.020283	-0.035321
-0.003921	-0.008645	0.016863	17.276999	0.183148	0							0.020778	-0.035321
-0.003427	-0.012955	0.017853	17.276293	0.188097	0							0.021273	-0.035321
-0.002932	-0.012229	0.018843	17.275414	0.193045	0							0.021768	-0.035321
-0.002437	-0.011846	0.019832	17.274403	0.197994	0							0.022262	-0.035321
-0.001943	-0.011472	0.020822	17.273247	0.202943	0							0.022757	-0.035321
-0.001448	-0.015719	0.021811	17.272062	0.207892	0							0.023252	-0.035321
-0.000953	-0.019173	0.022801	17.270845	0.21284	0							0.023746	-0.035321
-0.000458	-0.017	0.023791	17.269655	0.217789	0							0.024241	-0.035321
0.000036	-0.005527	0.02478	17.268635	0.222738	0							0.024736	-0.035321
0.000531	-0.011212	0.02577	17.267735	0.227687	0							0.025231	-0.035321
0.001026	-0.009535	0.026759	17.26693	0.232635	0							0.025725	-0.035321
0.00152	-0.008316	0.027749	17.266203	0.237584	0							0.02622	-0.035321
0.002015	-0.009912	0.028739	17.26552	0.242533	0							0.026715	-0.035321
0.00251	-0.008824	0.029728	17.264935	0.247482	0							0.02721	-0.035321
0.003005	-0.011542	0.030718	17.264439	0.25243	0							0.027704	-0.035321
0.003499	-0.009569	0.031707	17.263985	0.257379	0							0.028199	-0.035321
0.003994	-0.013035	0.032697	17.263618	0.262328	0							0.028694	-0.035321
0.004489	-0.015538	0.033687	17.263323	0.267277	0							0.029188	-0.035321
0.004983	-0.012769	0.034676	17.26302	0.272225	0							0.029683	-0.035321
0.005478	-0.012591	0.035666	17.262756	0.277174	0							0.030178	-0.035321
0.005973	-0.013399	0.036655	17.262436	0.282123	0							0.030673	-0.035321
0.006468	-0.013538	0.037645	17.262018	0.287072	0							0.031167	-0.035321
0.006962	-0.014558	0.038635	17.261662	0.29202	0							0.031662	-0.035321
0.007457	-0.014546	0.039624	17.261332	0.296969	0							0.032157	-0.035321
0.007952	-0.011073	0.040614	17.26086	0.301918	0							0.032651	-0.035321
0.008447	-0.006707	0.041603	17.260342	0.306867	0							0.033146	-0.035321
0.008941	-0.003715	0.042593	17.259882	0.311815	0							0.033641	-0.035321
0.009436	-0.001684	0.043583	17.25934	0.316764	0							0.034136	-0.035321
0.009931	-0.002927	0.044572	17.258678	0.321713	0							0.03463	-0.035321
0.010425	-0.002421	0.045562	17.257961	0.326662	0							0.035125	-0.035321
0.01092	-0.002699	0.046551	17.257158	0.33161	0							0.03562	-0.035321
0.011415	0.00049	0.047541	17.256172	0.336559	0							0.036114	-0.035321
0.01191	0.000263	0.048531	17.255037	0.341508	0							0.036609	-0.035321
0.012404	-0.000032	0.04952	17.253937	0.346457	0							0.037104	-0.035321
0.012899	-0.001439	0.05051	17.2528	0.351405	0							0.037599	-0.035321
0.013394	-0.005635	0.051499	17.251537	0.356354	0							0.038093	-0.035321
0.013888	-0.007869	0.052489	17.250158	0.361303	0							0.038588	-0.035321
0.014383	-0.006711	0.053478	17.248703	0.366252	0							0.039083	-0.035321
0.014878	-0.00369	0.054468	17.247219	0.3712	0							0.039577	-0.035321
0.015373	-0.005303	0.055458	17.245623	0.376149	0							0.040072	-0.035321
0.015867	-0.001825	0.056447	17.24399	0.381098	0							0.040567	-0.035321
0.016362	-0.006737	0.057437	17.242334	0.386047	0							0.041062	-0.035321
0.016857	-0.009008	0.058426	17.240587	0.390995	0							0.041556	-0.035321
0.017351	-0.010574	0.059416	17.238806	0.395944	0							0.042051	-0.035321
0.017846	-0.007823	0.060406	17.236996	0.400893	0							0.042546	-0.035321
0.018341	-0.01173	0.061395	17.235109	0.405841	0							0.043041	-0.035321
0.018836	-0.009329	0.062385	17.233162	0.41079	0							0.043535	-0.035321
0.01933	-0.007733	0.063374	17.231184	0.415739	0							0.04403	-0.035321
0.019825	-0.008614	0.064364	17.229189	0.420688	0							0.044525	-0.035321
0.02032	-0.009325	0.065354	17.227146	0.425637	0							0.045019	-0.035321
0.020814	-0.012259	0.066343	17.225063	0.430585	0							0.045514	-0.035321
0.021309	-0.012496	0.067333	17.222908	0.435534	0							0.046009	-0.035321
0.021804	-0.010402	0.068322	17.220613	0.440483	0							0.046504	-0.035321
0.022299	-0.00829	0.069312	17.21842	0.445432	0							0.046998	-0.035321
