Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
-0.024782	0	-0.024782	17.291643	-0.024782	0	-0.000048	""	-0.024782	"Method Settings"	-0.000418	"1.A.1"	0	-0.054123
-0.024288	0.022232	-0.023793	17.293003	-0.019832	0			-0.024687	"Equilibration"	0.100389	"Waste(Frac)"	0.000495	-0.053839
-0.023793	0.022651	-0.022804	17.293097	-0.014881	0			-0.005438	"Sample Application"	0.108353	"1.A.2"	0.000989	-0.053554
-0.023298	0.024223	-0.021814	17.293125	-0.00993	0			0.100888	"Elution"	0.308384	"1.A.3"	0.001484	-0.05327
-0.022804	0.02292	-0.020825	17.293175	-0.004979	0					0.508422	"1.A.4"	0.001979	-0.052986
-0.022309	0.019112	-0.019836	17.293348	-0.000028	0					0.708757	"1.A.5"	0.002473	-0.052702
-0.021814	0.015416	-0.018846	17.293858	0.004923	0					0.908819	"1.A.6"	0.002968	-0.052418
-0.02132	0.01163	-0.017857	17.294497	0.009874	0					1.108372	"1.A.7"	0.003463	-0.052134
-0.020825	0.006645	-0.016867	17.294317	0.014825	0					1.308412	"1.A.8"	0.003958	-0.05185
-0.02033	0.003604	-0.015878	17.294256	0.019775	0					1.508736	"1.A.9"	0.004452	-0.051566
-0.019836	0.002997	-0.014889	17.294287	0.024726	0					1.708808	"1.A.10"	0.004947	-0.051282
-0.019341	-0.003254	-0.013899	17.29435	0.029677	0					1.908857	"1.A.11"	0.005442	-0.050996
-0.018846	-0.001413	-0.01291	17.294508	0.034628	0					2.108899	"1.A.12"	0.005936	-0.05071
-0.018352	0.009792	-0.011921	17.294798	0.039579	0					2.308731	"1.B.1"	0.006431	-0.050425
-0.017857	0.021502	-0.010931	17.295252	0.04453	0					2.508799	"1.B.2"	0.006926	-0.050139
-0.017362	0.019074	-0.009942	17.295774	0.049481	0					2.708841	"1.B.3"	0.00742	-0.049853
-0.016867	0.016081	-0.008952	17.29599	0.054432	0					2.908903	"1.B.4"	0.007915	-0.049568
-0.016373	0.015682	-0.007963	17.295238	0.059383	0					3.046257	"Waste(Frac)"	0.00841	-0.049282
-0.015878	0.012677	-0.006974	17.293438	0.064333	0					3.046752	"Waste(Frac)"	0.008904	-0.048996
-0.015383	0.010894	-0.005984	17.29109	0.069284	0							0.009399	-0.048711
-0.014889	0.006476	-0.004995	17.288406	0.074235	0							0.009894	-0.048425
-0.014394	0.005968	-0.004005	17.285526	0.079186	0							0.010389	-0.048147
-0.013899	0.004206	-0.003016	17.282558	0.084137	0							0.010883	-0.047868
-0.013405	0.004695	-0.002027	17.27949	0.089088	0							0.011378	-0.047589
-0.01291	0.009436	-0.001037	17.276278	0.094039	0							0.011873	-0.047311
-0.012415	0.004388	-0.000048	17.264437	0.09899	0							0.012367	-0.047032
-0.011921	0.002794	0.000941	17.268196	0.10394	0							0.012862	-0.046753
-0.011426	0.007008	0.001931	17.269106	0.108891	0							0.013357	-0.046475
-0.010931	0.009386	0.00292	17.269901	0.113842	0							0.013851	-0.046196
-0.010436	0.009165	0.00391	17.270613	0.118793	0							0.014346	-0.045918
-0.009942	0.011918	0.004899	17.271311	0.123744	0							0.014841	-0.045639
-0.009447	0.013565	0.005888	17.271978	0.128695	0							0.015335	-0.045348
-0.008952	0.014503	0.006878	17.2726	0.133646	0							0.01583	-0.045057
-0.008458	0.015679	0.007867	17.273151	0.138597	0							0.016325	-0.044765
-0.007963	0.016142	0.008856	17.273628	0.143548	0							0.016819	-0.044474
-0.007468	0.025604	0.009846	17.274052	0.148498	0							0.017314	-0.044183
-0.006974	0.024306	0.010835	17.274492	0.153449	0							0.017809	-0.043892
-0.006479	0.001754	0.011825	17.27487	0.1584	0							0.018304	-0.043601
-0.005984	-0.002587	0.012814	17.27527	0.163351	0							0.018798	-0.04331
-0.00549	-0.000288	0.013803	17.275776	0.168302	0							0.019293	-0.043018
-0.004995	-0.003852	0.014793	17.276276	0.173253	0							0.019788	-0.042727
-0.0045	-0.006769	0.015782	17.276814	0.178204	0							0.020282	-0.042454
-0.004005	-0.005167	0.016772	17.277336	0.183155	0							0.020777	-0.042181
-0.003511	-0.006091	0.017761	17.277864	0.188105	0							0.021272	-0.041908
-0.003016	-0.012785	0.01875	17.278399	0.193056	0							0.021766	-0.041634
-0.002521	-0.015416	0.01974	17.278992	0.198007	0							0.022261	-0.041361
-0.002027	-0.015297	0.020729	17.279598	0.202958	0							0.022756	-0.041088
-0.001532	-0.017704	0.021718	17.280191	0.207909	0							0.02325	-0.040815
-0.001037	-0.01778	0.022708	17.280443	0.21286	0							0.023745	-0.040541
-0.000543	-0.021505	0.023697	17.279949	0.217811	0							0.02424	-0.040268
-0.000048	-0.025681	0.024687	17.27877	0.222762	0							0.024735	-0.039995
0.000447	-0.018675	0.025676	17.27722	0.227712	0							0.025229	-0.039709
0.000941	-0.025571	0.026665	17.27511	0.232663	0							0.025724	-0.039422
0.001436	-0.026013	0.027655	17.272898	0.237614	0							0.026219	-0.039136
0.001931	-0.024722	0.028644	17.270924	0.242565	0							0.026713	-0.03885
0.002425	-0.026796	0.029633	17.269161	0.247516	0							0.027208	-0.038564
0.00292	-0.024458	0.030623	17.267567	0.252467	0							0.027703	-0.038278
0.003415	-0.021787	0.031612	17.266203	0.257418	0							0.028197	-0.037991
0.00391	-0.020207	0.032602	17.265057	0.262369	0							0.028692	-0.037705
0.004404	-0.014929	0.033591	17.264133	0.26732	0							0.029187	-0.037419
0.004899	-0.015372	0.03458	17.263453	0.27227	0							0.029681	-0.037133
0.005394	-0.01528	0.03557	17.262836	0.277221	0							0.030176	-0.036839
0.005888	-0.011625	0.036559	17.262291	0.282172	0							0.030671	-0.036546
0.006383	-0.009521	0.037549	17.261919	0.287123	0							0.031166	-0.036253
0.006878	-0.009302	0.038538	17.261673	0.292074	0							0.03166	-0.035959
0.007372	-0.006948	0.039527	17.261408	0.297025	0							0.032155	-0.035666
0.007867	-0.004913	0.040517	17.261154	0.301976	0							0.03265	-0.035372
0.008362	-0.003023	0.041506	17.26107	0.306927	0							0.033144	-0.035079
0.008856	-0.004171	0.042495	17.260967	0.311877	0							0.033639	-0.034785
0.009351	-0.009541	0.043485	17.260832	0.316828	0							0.034134	-0.034492
0.009846	-0.009831	0.044474	17.260775	0.321779	0							0.034628	-0.034199
0.010341	-0.006728	0.045464	17.260466	0.32673	0							0.035123	-0.033903
0.010835	-0.008594	0.046453	17.260214	0.331681	0							0.035618	-0.033608
0.01133	-0.009105	0.047442	17.260075	0.336632	0							0.036112	-0.033313
0.011825	-0.008055	0.048432	17.259619	0.341583	0							0.036607	-0.033017
0.012319	-0.007181	0.049421	17.259146	0.346534	0							0.037102	-0.032722
0.012814	-0.007803	0.05041	17.258537	0.351485	0							0.037596	-0.032427
0.013309	-0.01105	0.0514	17.25779	0.356435	0							0.038091	-0.032132
0.013803	-0.012829	0.052389	17.25695	0.361386	0							0.038586	-0.031836
0.014298	-0.008475	0.053379	17.256109	0.366337	0							0.039081	-0.031541
0.014793	-0.006449	0.054368	17.254997	0.371288	0							0.039575	-0.031246
0.015287	-0.007056	0.055357	17.253876	0.376239	0							0.04007	-0.030953
0.015782	-0.002932	0.056347	17.252615	0.38119	0							0.040565	-0.03066
0.016277	-0.002311	0.057336	17.251402	0.386141	0							0.041059	-0.030367
0.016772	-0.004692	0.058326	17.250004	0.391092	0							0.041554	-0.030074
0.017266	-0.00654	0.059315	17.2486	0.396043	0							0.042049	-0.029781
0.017761	-0.009457	0.060304	17.247141	0.400993	0							0.042543	-0.029488
0.018256	-0.010986	0.061294	17.245691	0.405944	0							0.043038	-0.029195
0.01875	-0.009252	0.062283	17.244129	0.410895	0							0.043533	-0.028902
0.019245	-0.010303	0.063272	17.242601	0.415846	0							0.044027	-0.028609
0.01974	-0.0156	0.064262	17.241053	0.420797	0							0.044522	-0.028316
0.020234	-0.017989	0.065251	17.239386	0.425748	0							0.045017	-0.028028
0.020729	-0.018443	0.066241	17.237635	0.430699	0							0.045512	-0.030989
0.021224	-0.022432	0.06723	17.235806	0.43565	0							0.046006	-0.027453
0.021718	-0.024319	0.068219	17.233927	0.4406	0							0.046501	-0.029721
0.022213	-0.022165	0.069209	17.231977	0.445551	0							0.046996	-0.026877
0.022708	-0.021857	0.070198	17.229952	0.450502	0							0.04749	-0.02659
