Calpeptin_400uM_in_N214A_24uM_28C_X,Calpeptin_400uM_in_N214A_24uM_28C_Y
0.083333,9.46464
0.1,9.46544
0.116667,9.46532
0.133333,9.46551
0.15,9.46554
0.166667,9.46575
0.183333,9.4662
0.2,9.46669
0.216667,9.46703
0.233333,9.46749
0.25,9.46818
0.266667,9.46884
0.283333,9.46967
0.3,9.46997
0.316667,9.47004
0.333333,9.46963
0.35,9.4694
0.366667,9.46943
0.383333,9.46909
0.4,9.46893
0.416667,9.46869
0.433333,9.46861
0.45,9.4687
0.466667,9.46895
0.483333,9.46911
0.5,9.46896
0.516667,9.46847
0.533333,9.46804
0.55,9.46802
0.566667,9.46823
0.583333,9.46823
0.6,9.46793
0.616667,9.46762
0.633333,9.46749
0.65,9.46734
0.666667,9.46751
0.683333,9.46781
0.7,9.46851
0.716667,9.4691
0.733333,9.4693
0.75,9.46932
0.766667,9.46921
0.783333,9.46906
0.8,9.46899
0.816667,9.46943
0.833333,9.46973
0.85,9.47012
0.866667,9.47125
0.883333,9.47123
0.9,9.47138
0.916667,9.47197
0.933333,9.47119
0.95,9.4702
0.966667,9.47115
0.983333,9.47052
1,9.46678
1.016667,9.46607
1.033333,9.46559
1.05,9.46244
1.066667,9.45851
1.083333,9.45514
1.1,9.45395
1.116667,9.45386
1.133333,9.45307
1.15,9.45308
1.166667,9.45357
1.183333,9.45446
1.2,9.45491
1.216667,9.45474
1.233333,9.45469
1.25,9.45485
1.266667,9.45513
1.283333,9.45569
1.3,9.45623
1.316667,9.45719
1.333333,9.45806
1.35,9.45873
1.366667,9.45935
1.383333,9.45962
1.4,9.45996
1.416667,9.46017
1.433333,9.46032
1.45,9.46049
1.466667,9.46025
1.483333,9.45984
1.5,9.45981
1.516667,9.45995
1.533333,9.45987
1.55,9.45957
1.566667,9.45932
1.583333,9.45921
1.6,9.45923
1.616667,9.45931
1.633333,9.459
1.65,9.45882
1.666667,9.45854
1.683333,9.45846
1.7,9.45856
1.716667,9.45864
1.733333,9.45867
1.75,9.45867
1.766667,9.45884
1.783333,9.45899
1.8,9.45936
1.816667,9.45978
1.833333,9.45985
1.85,9.45978
1.866667,9.45991
1.883333,9.46007
1.9,9.4601
1.916667,9.4601
1.933333,9.46009
1.95,9.4602
