Calpeptin_400uM_in_Q256A_24uM_28C_2_X,Calpeptin_400uM_in_Q256A_24uM_28C_2_Y
0.083333,9.81269
0.1,9.81432
0.116667,9.81485
0.133333,9.81534
0.15,9.81554
0.166667,9.81603
0.183333,9.81651
0.2,9.81712
0.216667,9.81931
0.233333,9.82093
0.25,9.82192
0.266667,9.82269
0.283333,9.82334
0.3,9.82384
0.316667,9.82426
0.333333,9.8247
0.35,9.82509
0.366667,9.82516
0.383333,9.82481
0.4,9.82397
0.416667,9.823
0.433333,9.82181
0.45,9.82046
0.466667,9.81912
0.483333,9.8175
0.5,9.81587
0.516667,9.81464
0.533333,9.81373
0.55,9.8127
0.566667,9.81123
0.583333,9.80952
0.6,9.80821
0.616667,9.80689
0.633333,9.80595
0.65,9.80532
0.666667,9.80499
0.683333,9.80496
0.7,9.80505
0.716667,9.80468
0.733333,9.80419
0.75,9.80398
0.766667,9.80424
0.783333,9.80474
0.8,9.80548
0.816667,9.80652
0.833333,9.80763
0.85,9.80827
0.866667,9.80818
0.883333,9.80917
0.9,9.81079
0.916667,9.81185
0.933333,9.81226
0.95,9.81346
0.966667,9.81644
0.983333,9.82152
1,9.82677
1.016667,9.82859
1.033333,9.82311
1.05,9.81597
1.066667,9.81067
1.083333,9.80735
1.1,9.80533
1.116667,9.80426
1.133333,9.8047
1.15,9.80589
1.166667,9.80648
1.183333,9.80606
1.2,9.80559
1.216667,9.80576
1.233333,9.80617
1.25,9.80684
1.266667,9.80721
1.283333,9.8072
1.3,9.80718
1.316667,9.80728
1.333333,9.80743
1.35,9.80786
1.366667,9.80805
1.383333,9.80884
1.4,9.8088
1.416667,9.80795
1.433333,9.80826
1.45,9.80987
1.466667,9.81182
1.483333,9.81204
1.5,9.81112
1.516667,9.80992
1.533333,9.80848
1.55,9.80637
1.566667,9.80589
1.583333,9.80739
1.6,9.80899
1.616667,9.81048
1.633333,9.80916
1.65,9.80462
1.666667,9.80259
1.683333,9.80407
1.7,9.80614
1.716667,9.80564
1.733333,9.80436
1.75,9.80263
1.766667,9.80285
1.783333,9.8035
1.8,9.80369
1.816667,9.8062
1.833333,9.80756
1.85,9.80735
1.866667,9.80721
1.883333,9.80772
1.9,9.80837
1.916667,9.80782
1.933333,9.80684
1.95,9.80549
1.966667,9.80418
1.983333,9.80397
2,9.80388
2.016667,9.80273
2.033333,9.80202
2.05,9.80137
2.066667,9.80047
2.083333,9.79935
2.1,9.79815
2.116667,9.79682
2.133333,9.79566
2.15,9.7946
2.166667,9.7941
2.183333,9.79386
2.2,9.79383
2.216667,9.79389
2.233333,9.79381
2.25,9.79388
2.266667,9.79414
2.283333,9.7946
2.3,9.79498
2.316667,9.79532
2.333333,9.79585
2.35,9.79631
2.366667,9.79673
2.383333,9.79707
2.4,9.79741
2.416667,9.79774
2.433333,9.79781
2.45,9.79821
2.466667,9.79866
2.483333,9.79919
2.5,9.7997
2.516667,9.80017
2.533333,9.80077
2.55,9.80131
2.566667,9.80177
2.583333,9.80227
2.6,9.80286
2.616667,9.80361
2.633333,9.8045
2.65,9.80542
2.666667,9.80662
2.683333,9.80863
2.7,9.81025
2.716667,9.81063
2.733333,9.81102
2.75,9.8118
2.766667,9.813
2.783333,9.81406
2.8,9.81524
2.816667,9.81663
2.833333,9.81823
2.85,9.81958
2.866667,9.82035
2.883333,9.82114
2.9,9.82155
2.916667,9.82098
2.933333,9.8199
2.95,9.81848
2.966667,9.81688
2.983333,9.816
3,9.81505
3.016667,9.8133
3.033333,9.81174
3.05,9.81144
3.066667,9.811
3.083333,9.81009
3.1,9.80882
3.116667,9.80727
3.133333,9.80568
3.15,9.80394
3.166667,9.8023
3.183333,9.8008
3.2,9.79956
3.216667,9.7986
3.233333,9.79812
3.25,9.79853
3.266667,9.79942
3.283333,9.80049
