Calpeptin_400uM_in_S256A_24uM_28C_X,Calpeptin_400uM_in_S256A_24uM_28C_Y
0.083333,9.36728
0.1,9.36812
0.116667,9.36846
0.133333,9.36887
0.15,9.3693
0.166667,9.36971
0.183333,9.36996
0.2,9.37008
0.216667,9.3702
0.233333,9.37042
0.25,9.3705
0.266667,9.3706
0.283333,9.37086
0.3,9.3714
0.316667,9.37185
0.333333,9.37214
0.35,9.37232
0.366667,9.37246
0.383333,9.37269
0.4,9.37314
0.416667,9.37356
0.433333,9.37373
0.45,9.37368
0.466667,9.37357
0.483333,9.37351
0.5,9.37357
0.516667,9.37366
0.533333,9.3737
0.55,9.37376
0.566667,9.3738
0.583333,9.37381
0.6,9.37376
0.616667,9.37368
0.633333,9.37349
0.65,9.37322
0.666667,9.37318
0.683333,9.37323
0.7,9.37325
0.716667,9.37334
0.733333,9.37325
0.75,9.37319
0.766667,9.37316
0.783333,9.3731
0.8,9.37316
0.816667,9.3735
0.833333,9.37395
0.85,9.37435
0.866667,9.37453
0.883333,9.37484
0.9,9.37504
0.916667,9.37541
0.933333,9.37557
0.95,9.37579
0.966667,9.37685
0.983333,9.37955
1,9.38287
1.016667,9.38254
1.033333,9.37969
1.05,9.37144
1.066667,9.36332
1.083333,9.35696
1.1,9.35054
1.116667,9.3501
1.133333,9.35253
1.15,9.35401
1.166667,9.35567
1.183333,9.35674
1.2,9.35755
1.216667,9.35813
1.233333,9.3583
1.25,9.35848
1.266667,9.35882
1.283333,9.3594
1.3,9.35974
1.316667,9.35978
1.333333,9.35965
1.35,9.35941
1.366667,9.3591
1.383333,9.35852
1.4,9.35781
1.416667,9.35711
1.433333,9.35649
1.45,9.35577
1.466667,9.35492
1.483333,9.3545
1.5,9.35402
1.516667,9.3535
1.533333,9.35295
1.55,9.35235
1.566667,9.35184
1.583333,9.35169
1.6,9.35221
1.616667,9.35265
1.633333,9.353
1.65,9.35355
1.666667,9.35404
1.683333,9.35475
1.7,9.35558
1.716667,9.35595
1.733333,9.35679
1.75,9.35723
1.766667,9.35755
1.783333,9.35828
1.8,9.35911
1.816667,9.35984
1.833333,9.36074
1.85,9.36081
1.866667,9.36083
1.883333,9.36044
1.9,9.36046
1.916667,9.36077
1.933333,9.36049
1.95,9.35991
1.966667,9.35988
1.983333,9.35923
2,9.35876
2.016667,9.35875
2.033333,9.35966
2.05,9.36053
2.066667,9.35985
2.083333,9.35979
2.1,9.36078
2.116667,9.36242
2.133333,9.36439
2.15,9.36566
2.166667,9.3658
2.183333,9.3657
2.2,9.36661
2.216667,9.36742
2.233333,9.36664
2.25,9.3653
2.266667,9.36437
2.283333,9.36089
2.3,9.35319
2.316667,9.35172
2.333333,9.35422
2.35,9.35683
2.366667,9.35959
2.383333,9.36182
2.4,9.36318
2.416667,9.36478
2.433333,9.36506
2.45,9.36443
2.466667,9.36395
2.483333,9.3648
2.5,9.36551
2.516667,9.36557
2.533333,9.36455
2.55,9.36402
2.566667,9.36448
2.583333,9.36454
2.6,9.36363
2.616667,9.36272
2.633333,9.36234
2.65,9.36279
2.666667,9.36308
2.683333,9.36318
2.7,9.3632
2.716667,9.36312
2.733333,9.36304
2.75,9.36284
2.766667,9.36292
2.783333,9.36313
2.8,9.36347
2.816667,9.36355
2.833333,9.36354
2.85,9.36365
2.866667,9.36373
2.883333,9.36364
2.9,9.36351
2.916667,9.36345
2.933333,9.36353
2.95,9.36367
2.966667,9.36389
2.983333,9.36457
3,9.36563
3.016667,9.36688
3.033333,9.36686
3.05,9.36223
3.066667,9.35661
3.083333,9.35311
3.1,9.35322
3.116667,9.35353
3.133333,9.35388
3.15,9.35417
3.166667,9.35455
3.183333,9.35451
3.2,9.35459
3.216667,9.35463
3.233333,9.35482
3.25,9.35511
3.266667,9.35531
3.283333,9.35562
3.3,9.35602
3.316667,9.35648
3.333333,9.35709
3.35,9.35765
3.366667,9.35839
3.383333,9.35883
3.4,9.35918
3.416667,9.36003
3.433333,9.36083
3.45,9.3621
3.466667,9.36377
3.483333,9.36545
3.5,9.36713
3.516667,9.3678
3.533333,9.36761
3.55,9.35852
3.566667,9.33295
3.583333,9.29497
3.6,9.25408
3.616667,9.22303
3.633333,9.20419
3.65,9.19659
3.666667,9.19885
3.683333,9.19892
3.7,9.20529
3.716667,9.21504
3.733333,9.22356
3.75,9.23206
3.766667,9.24439
3.783333,9.25583
3.8,9.2692
3.816667,9.28269
3.833333,9.29303
3.85,9.29747
3.866667,9.29921
3.883333,9.30032
3.9,9.3021
3.916667,9.30446
3.933333,9.30716
3.95,9.30917
3.966667,9.30973
3.983333,9.30985
4,9.31051
4.016667,9.31178
4.033333,9.31237
4.05,9.31208
4.066667,9.31148
4.083333,9.31068
4.1,9.31062
4.116667,9.31102
4.133333,9.31107
4.15,9.31424
4.166667,9.32501
4.183333,9.33263
4.2,9.33459
4.216667,9.3331
4.233333,9.32893
4.25,9.32205
4.266667,9.31854
4.283333,9.31816
4.3,9.32028
4.316667,9.32298
4.333333,9.32435
4.35,9.32572
4.366667,9.32705
4.383333,9.3283
4.4,9.3293
4.416667,9.3307
4.433333,9.33218
4.45,9.33307
4.466667,9.33369
4.483333,9.33458
4.5,9.33537
4.516667,9.33586
4.533333,9.33655
4.55,9.33722
4.566667,9.33807
4.583333,9.33903
4.6,9.34027
4.616667,9.34126
4.633333,9.34212
4.65,9.34296
4.666667,9.34348
4.683333,9.34483
4.7,9.34683
4.716667,9.34877
4.733333,9.35183
4.75,9.35451
4.766667,9.3575
4.783333,9.35575
4.8,9.34777
4.816667,9.33986
4.833333,9.33638
4.85,9.33517
4.866667,9.33693
4.883333,9.3386
4.9,9.33989
4.916667,9.34099
4.933333,9.34207
4.95,9.34407
4.966667,9.34613
4.983333,9.34803
5,9.34895
5.016667,9.34984
5.033333,9.35172
5.05,9.35116
5.066667,9.35156
5.083333,9.3512
5.1,9.35077
5.116667,9.34995
5.133333,9.34938
5.15,9.34936
5.166667,9.34926
5.183333,9.34934
5.2,9.34901
5.216667,9.34839
5.233333,9.34851
5.25,9.34829
5.266667,9.34826
5.283333,9.34839
5.3,9.34844
5.316667,9.34851
5.333333,9.34872
5.35,9.34876
5.366667,9.34907
5.383333,9.34969
5.4,9.35018
5.416667,9.35056
5.433333,9.35079
5.45,9.35033
5.466667,9.34968
5.483333,9.34908
5.5,9.34917
5.516667,9.34929
5.533333,9.34933
5.55,9.34939
5.566667,9.34971
5.583333,9.34959
5.6,9.34889
5.616667,9.34862
5.633333,9.34901
5.65,9.34914
5.666667,9.34938
5.683333,9.3497
5.7,9.34981
5.716667,9.34988
5.733333,9.34991
5.75,9.35008
5.766667,9.35048
5.783333,9.35078
5.8,9.35086
5.816667,9.35077
5.833333,9.35081
5.85,9.35087
5.866667,9.35078
5.883333,9.35063
5.9,9.35069
5.916667,9.35067
5.933333,9.35027
5.95,9.35035
5.966667,9.35111
5.983333,9.35092
6,9.35053
6.016667,9.35008
6.033333,9.35217
6.05,9.34044
6.066667,9.31971
6.083333,9.28864
6.1,9.25479
6.116667,9.23018
6.133333,9.21442
6.15,9.21021
6.166667,9.20769
6.183333,9.21072
6.2,9.21817
6.216667,9.22997
6.233333,9.23732
6.25,9.24441
6.266667,9.25449
6.283333,9.26574
6.3,9.2732
6.316667,9.28354
6.333333,9.29323
6.35,9.29883
6.366667,9.3005
6.383333,9.30228
6.4,9.30467
6.416667,9.30694
6.433333,9.30848
6.45,9.31
6.466667,9.31123
6.483333,9.3126
6.5,9.31401
6.516667,9.31525
6.533333,9.31637
6.55,9.3173
6.566667,9.31825
6.583333,9.31883
6.6,9.31964
6.616667,9.32023
6.633333,9.32088
6.65,9.32127
6.666667,9.32288
6.683333,9.33298
6.7,9.33905
6.716667,9.33931
6.733333,9.33764
6.75,9.33581
6.766667,9.33456
6.783333,9.33291
6.8,9.33116
6.816667,9.32997
6.833333,9.33373
6.85,9.34269
6.866667,9.34361
6.883333,9.34288
6.9,9.34262
6.916667,9.3427
6.933333,9.342
6.95,9.3414
6.966667,9.34173
6.983333,9.34217
7,9.34207
7.016667,9.34191
7.033333,9.34188
7.05,9.34192
7.066667,9.34212
7.083333,9.34257
7.1,9.34267
7.116667,9.34266
7.133333,9.34268
7.15,9.3428
7.166667,9.34343
7.183333,9.34379
7.2,9.3438
7.216667,9.34396
7.233333,9.34407
7.25,9.34416
7.266667,9.34417
7.283333,9.34415
7.3,9.34441
7.316667,9.3449
7.333333,9.34524
7.35,9.3455
7.366667,9.34589
7.383333,9.34642
7.4,9.34695
7.416667,9.34745
7.433333,9.34793
7.45,9.34837
7.466667,9.34865
7.483333,9.34888
7.5,9.34951
7.516667,9.34999
7.533333,9.3495
7.55,9.34913
7.566667,9.34895
7.583333,9.34886
7.6,9.34881
7.616667,9.34867
7.633333,9.34851
7.65,9.34824
7.666667,9.34817
7.683333,9.34828
7.7,9.34808
7.716667,9.34816
7.733333,9.34831
7.75,9.34838
7.766667,9.34813
7.783333,9.34798
7.8,9.34836
7.816667,9.34871
7.833333,9.34877
7.85,9.34891
7.866667,9.34903
7.883333,9.34935
7.9,9.34989
7.916667,9.35076
7.933333,9.35124
7.95,9.35179
7.966667,9.3524
7.983333,9.35321
8,9.35351
8.016667,9.35341
8.033333,9.35322
8.05,9.35378
8.066667,9.35519
8.083333,9.35619
8.1,9.35715
8.116667,9.35827
8.133333,9.35929
8.15,9.36007
8.166667,9.3609
8.183333,9.36168
8.2,9.36223
8.216667,9.36238
8.233333,9.36306
8.25,9.36402
8.266667,9.3644
8.283333,9.36443
8.3,9.3647
8.316667,9.36527
8.333333,9.3651
8.35,9.36447
8.366667,9.36651
8.383333,9.37014
8.4,9.36923
8.416667,9.36741
8.433333,9.36649
