Calpeptin_400uM_in_WT_24uM_28C_X,Calpeptin_400uM_in_WT_24uM_28C_Y
0.083333,9.74341
0.1,9.74457
0.116667,9.74479
0.133333,9.74438
0.15,9.74336
0.166667,9.74227
0.183333,9.74203
0.2,9.74184
0.216667,9.74184
0.233333,9.74216
0.25,9.74251
0.266667,9.74272
0.283333,9.74242
0.3,9.7419
0.316667,9.74157
0.333333,9.74088
0.35,9.74027
0.366667,9.73968
0.383333,9.73951
0.4,9.73948
0.416667,9.73953
0.433333,9.73941
0.45,9.73926
0.466667,9.73925
0.483333,9.73935
0.5,9.73932
0.516667,9.73915
0.533333,9.73889
0.55,9.73845
0.566667,9.73786
0.583333,9.73729
0.6,9.73667
0.616667,9.73682
0.633333,9.73685
0.65,9.73703
0.666667,9.73753
0.683333,9.73819
0.7,9.73866
0.716667,9.73874
0.733333,9.73858
0.75,9.73835
0.766667,9.73829
0.783333,9.73834
0.8,9.73852
0.816667,9.73871
0.833333,9.73894
0.85,9.73926
0.866667,9.7399
0.883333,9.74045
0.9,9.74051
0.916667,9.74
0.933333,9.73856
0.95,9.73698
0.966667,9.73621
0.983333,9.73587
1,9.73694
1.016667,9.73773
1.033333,9.73333
1.05,9.7296
1.066667,9.72993
1.083333,9.7286
1.1,9.72515
1.116667,9.72302
1.133333,9.7213
1.15,9.71944
1.166667,9.71838
1.183333,9.71814
1.2,9.71872
1.216667,9.71943
1.233333,9.72049
1.25,9.72094
1.266667,9.72062
1.283333,9.72132
1.3,9.72134
1.316667,9.72262
1.333333,9.72382
1.35,9.72527
1.366667,9.72689
1.383333,9.72792
1.4,9.7286
1.416667,9.72926
1.433333,9.72994
1.45,9.73079
1.466667,9.7316
1.483333,9.73232
1.5,9.73308
1.516667,9.73381
1.533333,9.73418
1.55,9.73408
1.566667,9.73392
1.583333,9.73387
1.6,9.73384
1.616667,9.73356
1.633333,9.73318
1.65,9.73283
1.666667,9.73233
1.683333,9.73185
1.7,9.73111
1.716667,9.73009
1.733333,9.72921
1.75,9.72883
1.766667,9.72895
1.783333,9.72915
1.8,9.72926
1.816667,9.729
1.833333,9.72817
1.85,9.72766
1.866667,9.72728
1.883333,9.72658
1.9,9.72597
1.916667,9.72529
1.933333,9.72563
1.95,9.72539
1.966667,9.7245
1.983333,9.7236
2,9.7227
2.016667,9.72183
2.033333,9.7219
2.05,9.72261
2.066667,9.72356
2.083333,9.72419
2.1,9.72417
2.116667,9.72323
2.133333,9.72252
2.15,9.72203
2.166667,9.72102
2.183333,9.72106
2.2,9.72166
2.216667,9.72122
2.233333,9.72033
2.25,9.71936
2.266667,9.71866
2.283333,9.71903
2.3,9.72013
2.316667,9.72114
2.333333,9.7223
2.35,9.72324
2.366667,9.72327
2.383333,9.72219
2.4,9.7215
2.416667,9.72173
2.433333,9.72216
2.45,9.72172
2.466667,9.72083
2.483333,9.72027
2.5,9.72084
2.516667,9.72177
2.533333,9.72245
2.55,9.72241
2.566667,9.72257
2.583333,9.72293
2.6,9.72294
2.616667,9.722
2.633333,9.72055
2.65,9.71979
2.666667,9.71928
2.683333,9.71931
2.7,9.71978
2.716667,9.72024
2.733333,9.72058
2.75,9.72079
2.766667,9.72096
2.783333,9.721
2.8,9.72107
2.816667,9.72075
2.833333,9.71994
2.85,9.7194
2.866667,9.71901
2.883333,9.71862
2.9,9.71823
2.916667,9.71761
2.933333,9.71716
2.95,9.71682
2.966667,9.71647
2.983333,9.71622
3,9.71606
3.016667,9.71578
3.033333,9.71554
3.05,9.71553
3.066667,9.71588
3.083333,9.71664
3.1,9.71771
3.116667,9.71881
3.133333,9.71978
3.15,9.72081
3.166667,9.72175
3.183333,9.72268
3.2,9.72351
3.216667,9.72423
3.233333,9.72397
3.25,9.7236
3.266667,9.72389
3.283333,9.72416
3.3,9.72451
3.316667,9.72493
3.333333,9.72541
3.35,9.72587
3.366667,9.72554
3.383333,9.7247
3.4,9.72281
3.416667,9.7207
3.433333,9.71884
3.45,9.71822
3.466667,9.71952
3.483333,9.72106
3.5,9.724
3.516667,9.72622
3.533333,9.72374
3.55,9.70722
3.566667,9.67272
3.583333,9.62989
3.6,9.59327
3.616667,9.56094
3.633333,9.54311
3.65,9.5364
3.666667,9.53786
3.683333,9.54818
3.7,9.56232
3.716667,9.57597
3.733333,9.58946
3.75,9.60122
3.766667,9.61478
3.783333,9.6283
3.8,9.6378
3.816667,9.64273
3.833333,9.64557
3.85,9.64824
3.866667,9.65281
3.883333,9.65633
3.9,9.65973
3.916667,9.66285
3.933333,9.66525
3.95,9.66677
3.966667,9.66763
3.983333,9.66878
4,9.67065
4.016667,9.6725
4.033333,9.67412
4.05,9.67569
4.066667,9.67723
4.083333,9.67832
4.1,9.67879
4.116667,9.67918
4.133333,9.67978
4.15,9.68028
4.166667,9.68086
4.183333,9.68133
4.2,9.68181
4.216667,9.68229
4.233333,9.6829
4.25,9.68357
4.266667,9.68399
4.283333,9.68409
4.3,9.68408
4.316667,9.68426
4.333333,9.6845
4.35,9.68481
4.366667,9.68495
4.383333,9.68521
4.4,9.68567
4.416667,9.68575
4.433333,9.6857
4.45,9.68576
4.466667,9.68588
4.483333,9.6865
4.5,9.68757
4.516667,9.68801
4.533333,9.68821
4.55,9.68824
4.566667,9.68839
4.583333,9.68887
4.6,9.68976
4.616667,9.69039
4.633333,9.69069
4.65,9.69129
4.666667,9.69161
4.683333,9.69167
4.7,9.69188
4.716667,9.69206
4.733333,9.69254
4.75,9.69207
4.766667,9.69229
4.783333,9.69261
4.8,9.69275
4.816667,9.69268
4.833333,9.69276
4.85,9.69323
4.866667,9.69385
4.883333,9.69459
4.9,9.69513
4.916667,9.69524
4.933333,9.69499
4.95,9.69476
4.966667,9.69513
4.983333,9.69606
5,9.69712
5.016667,9.69813
5.033333,9.69911
5.05,9.70007
5.066667,9.70105
5.083333,9.70179
5.1,9.70245
5.116667,9.7032
5.133333,9.70332
5.15,9.70271
5.166667,9.70173
5.183333,9.70118
5.2,9.70147
5.216667,9.70193
5.233333,9.70219
5.25,9.70209
5.266667,9.7019
5.283333,9.70169
5.3,9.70114
5.316667,9.70024
5.333333,9.69912
5.35,9.69868
5.366667,9.69864
5.383333,9.69858
5.4,9.69864
5.416667,9.69929
5.433333,9.70038
5.45,9.70128
5.466667,9.70209
5.483333,9.70244
5.5,9.70247
5.516667,9.70224
5.533333,9.70177
5.55,9.70115
5.566667,9.7008
5.583333,9.70098
5.6,9.70143
5.616667,9.70182
5.633333,9.70211
5.65,9.70227
5.666667,9.70254
5.683333,9.70292
5.7,9.70334
5.716667,9.70358
5.733333,9.70353
5.75,9.70318
5.766667,9.70274
5.783333,9.7024
5.8,9.70226
