overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -, 3.436
3.415,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -, overflow
2.989,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -, overflow
2.672,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -, 2.532
2.274,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -, 2.408
2.346,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -, 2.270
2.207,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -, 2.352
2.178,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -, 2.329

2.894,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -, 3.475
3.117,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -, 3.264
2.889,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -, overflow
2.577,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -, 2.278
1.985,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -, 2.214
2.041,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -, 2.027
2.021,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -, 2.118
2.027,
