overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 3.257,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 2.644,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
3.158, 2.996,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
3.194, 2.701,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
3.214, 2.712,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 3.155,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 3.271,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
3.100, 2.817,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.804, 2.335,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.709, 2.296,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.578, 2.452,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
3.376, 2.518,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 3.219,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
3.221, 2.536,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.857, 2.167,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.489, 2.115,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.364, 2.129,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.396, 2.301,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
3.307, 2.679,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.752, 2.163,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.360, 1.878,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.123, 1.842,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
