       -,        -,   103241,   102309,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    84841,    80254,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    61373,    59524,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    44234,    39240,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    31924,    29219,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    25853,    31258,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    26802,    29962,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,     1625

       -,        -,   100288,   101453,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    84614,    81853,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    61097,    59675,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    44369,    39312,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    32870,    29809,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    26446,    30581,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    25673,    28694,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,     1507

       -,        -,   102259,   102698,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    83927,    80909,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    60387,    58780,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    45004,    39443,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    32048,    29315,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    27074,    29721,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    26078,    28884,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,     1568

       -,        -,   101563,   102457,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    83681,    81231,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    61480,    59200,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    43993,    39873,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    32784,    30277,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    28225,    30667,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    25870,    28086,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,     1448

       -,        -,   101799,   101576,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    83619,    79934,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    61612,    57290,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    45066,    39867,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    31740,    30261,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    29546,    29628,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    25264,    27427,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,     1644

       -,        -,   100370,   101553,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    82176,    79417,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    60847,    56976,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    45117,    38442,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    32570,    29911,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    31108,    30062,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    24566,    27342,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,     1539

       -,        -,   100009,   102155,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    83654,    78948,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    61492,    56914,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    45193,    39834,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    32630,    29388,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    30662,    28239,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    25022,    27229,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,     1502

       -,        -,   101602,   102078,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    83593,    80113,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    59424,    58412,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    44010,    38558,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    31971,    29659,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    27725,    29888,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    24216,    27136,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,     1524

       -,        -,   101455,   101293,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    83190,    78912,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    61750,    56309,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    43668,    38629,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    32519,    29898,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    26027,    30269,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    24247,    25652,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,     1346

       -,        -,   100500,   101227,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    83107,    78580,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    61074,    56731,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    43747,    37679,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    33032,    29435,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    26364,    28942,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    25163,    27089,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,     1459

       -,        -,   100750,   101896,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    82703,    78292,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    60572,    56161,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    43699,    39165,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    32230,    30548,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    25772,    28633,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    24765,    26512,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,     1441

       -,        -,   101309,   101518,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    82962,    80751,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    59403,    55966,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    43974,    39418,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    32220,    30010,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    26126,    29642,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    24112,    26316,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,     1508

       -,        -,   101729,   103586,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    82765,    78728,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    60543,    57556,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    43759,    38647,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    31867,    29639,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    25284,    28991,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    23743,    25158,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,     1544

       -,        -,   100221,   102316,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    82930,    78282,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    59636,    56837,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    42941,    38643,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    31402,    28816,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    26501,    27924,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    23559,    25406,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,     1462

       -,        -,    98517,   100642,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    85045,    79291,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    59112,    54887,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    44359,    39722,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    33266,    29757,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    24935,    28959,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    24562,    25758,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,     1592

       -,        -,    99355,   102062,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    82075,    79886,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    59648,    57166,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    43285,    38597,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    30450,    29504,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    24587,    29437,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    24704,    25155,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,     1596

       -,        -,    99338,   102852,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    82136,    78831,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    60810,    55663,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    43665,    38969,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    33528,    29242,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    26390,    28095,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    23588,    26076,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,     1432

       -,        -,   101802,   103120,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    83267,    78964,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    59291,    56010,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    44028,    38749,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    31913,    29825,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    26013,    28943,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    24421,    25104,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,     1468

       -,        -,   101819,   102197,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    81970,    82829,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    60009,    56202,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    42515,    38568,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    31659,    30080,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    26787,    29095,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    24737,    25482,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,     1555

       -,        -,   101223,   100735,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    81714,    83310,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    58698,    55424,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    43627,    39316,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    31762,    29212,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    28283,    29158,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    24184,    25540,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,     1572

       -,        -,    99177,   102335,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    82414,    81194,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    60471,    56153,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    45145,    38161,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    31421,    29422,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,    31134,    28039,        -,        -,        -,        -,        -,        -,        -,        -
