User: USER;Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data;Test run no.: 155
Test name: Mpro_FRET_TJ_Aug2021;Date: 18.08.2021;Time: 16:26:10

Fluorescence (FI)

Cycle 120 (9 min 55 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;;;136907;;;;;;;;
B;;;;123184;;;;;;;;
C;;;;142433;;;;;;;;
D;;;;80941;;;;;;;;
E;;;;32009;;;;;;;;
F;;;;13298;;;;;;;;
G;;;;2389;;;;;;;;
H;;;;365;;;;;;;;

Cycle 119 (9 min 50 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;;;138260;;;;;;;;
B;;;;121087;;;;;;;;
C;;;;143713;;;;;;;;
D;;;;82607;;;;;;;;
E;;;;32404;;;;;;;;
F;;;;13762;;;;;;;;
G;;;;3184;;;;;;;;
H;;;;1988;;;;;;;;

Cycle 118 (9 min 45 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;;;136816;;;;;;;;
B;;;;122191;;;;;;;;
C;;;;143646;;;;;;;;
D;;;;82688;;;;;;;;
E;;;;32369;;;;;;;;
F;;;;14408;;;;;;;;
G;;;;2916;;;;;;;;
H;;;;873;;;;;;;;

Cycle 117 (9 min 40 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;;;135690;;;;;;;;
B;;;;122080;;;;;;;;
C;;;;141452;;;;;;;;
D;;;;81899;;;;;;;;
E;;;;30824;;;;;;;;
F;;;;12938;;;;;;;;
G;;;;2663;;;;;;;;
H;;;;385;;;;;;;;

Cycle 116 (9 min 35 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;;;136285;;;;;;;;
B;;;;121745;;;;;;;;
C;;;;144556;;;;;;;;
D;;;;83872;;;;;;;;
E;;;;32304;;;;;;;;
F;;;;14086;;;;;;;;
G;;;;3022;;;;;;;;
H;;;;396;;;;;;;;

Cycle 115 (9 min 30 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;;;132983;;;;;;;;
B;;;;122033;;;;;;;;
C;;;;144731;;;;;;;;
D;;;;81150;;;;;;;;
E;;;;32449;;;;;;;;
F;;;;13463;;;;;;;;
G;;;;2815;;;;;;;;
H;;;;290;;;;;;;;

Cycle 114 (9 min 25 s)
