* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-19-2020
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-19-2020
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-19-2020
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-19-2020
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-19-2020
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-19-2020
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-19-2020
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-19-2020
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-19-2020
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-19-2020
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-19-2020
* Chemistry = SYBR_GREEN
* Date Created = 2021-05-21 14:03:34 PM CEST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = C:\Users\creonann\Desktop\Anne\Thermal_melt\results\mpro_N214A_Q256A_and_S284A_thermal_melt.eds
* Experiment Name = 2021-05-12_110813
* Experiment Run End Time = 2021-05-21 13:55:31 PM CEST
* Experiment Type = Melt Curve
* Instrument Name =       272312463
* Instrument Serial Number = 272312463
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = 
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage2
* Stage/ Cycle where Ct Analysis is performed = Stage0, Step0
* User Name = creon

[Melt Curve Result]
Well	Well Position	Sample	Target Name	Tm	Melt Peak Height
4	A4	control	Target 1	43.911	1,064.121
5	A5	control	Target 1	42.293	1,241.647
6	A6	control	Target 1	55.110	1,276.463
7	A7	control	Target 1	25.871	1,141.799
8	A8	control	Target 1	39.883	1,422.172
9	A9	control	Target 1	42.098	1,335.408
10	A10	control	Target 1	83.751	1,917.790
10	A10	control	Target 1	87.123	1,999.375
10	A10	control	Target 1	93.465	2,024.722
10	A10	control	Target 1	71.124	1,162.977
10	A10	control	Target 1	79.866	1,686.845
11	A11	control	Target 1	87.439	2,551.150
11	A11	control	Target 1	72.735	2,656.603
11	A11	control	Target 1	78.628	2,355.086
11	A11	control	Target 1	82.976	2,320.705
11	A11	control	Target 1	40.751	527.951
12	A12	control	Target 1	92.760	2,691.337
12	A12	control	Target 1	61.749	1,375.726
12	A12	control	Target 1	89.613	3,176.762
12	A12	control	Target 1	85.894	2,754.195
12	A12	control	Target 1	82.862	3,021.988
16	B4	MproN214A 100 uM	Target 1	59.214	3,155.588
17	B5	MproN214A 100 uM	Target 1	84.234	4,061.622
18	B6	MproN214A 100 uM	Target 1	62.663	2,657.223
19	B7	MproQ256A 100 uM	Target 1	65.563	3,324.467
20	B8	MproQ256A 100 uM	Target 1	86.554	2,567.267
21	B9	MproQ256A 100 uM	Target 1	89.065	2,704.203
22	B10	MproS284A 100 uM	Target 1	84.094	2,191.690
23	B11	MproS284A 100 uM	Target 1	89.327	2,824.572
24	B12	MproS284A 100 uM	Target 1	59.747	2,627.045
28	C4	MproN214A 50 uM	Target 1	53.675	-8,323.178
28	C4	MproN214A 50 uM	Target 1	85.993	3,476.137
28	C4	MproN214A 50 uM	Target 1	69.948	-1,081.328
28	C4	MproN214A 50 uM	Target 1	66.408	-69.192
28	C4	MproN214A 50 uM	Target 1	63.268	230.731
29	C5	MproN214A 50 uM	Target 1	54.366	-8,473.092
29	C5	MproN214A 50 uM	Target 1	31.078	760.444
29	C5	MproN214A 50 uM	Target 1	29.533	731.049
29	C5	MproN214A 50 uM	Target 1	64.494	1,027.786
29	C5	MproN214A 50 uM	Target 1	34.969	641.334
30	C6	MproN214A 50 uM	Target 1	54.366	-7,085.948
30	C6	MproN214A 50 uM	Target 1	66.782	1,089.286
30	C6	MproN214A 50 uM	Target 1	81.144	4,653.864
30	C6	MproN214A 50 uM	Target 1	82.403	4,629.895
30	C6	MproN214A 50 uM	Target 1	34.626	333.867
31	C7	MproQ256A 50 uM	Target 1	86.210	3,008.744
32	C8	MproQ256A 50 uM	Target 1	85.867	3,914.027
33	C9	MproQ256A 50 uM	Target 1	84.608	3,560.094
34	C10	MproS284A 50 uM	Target 1	83.923	2,096.765
35	C11	MproS284A 50 uM	Target 1	79.028	2,082.226
36	C12	MproS284A 50 uM	Target 1	80.173	2,358.446
40	D4	MproN214A 25 uM	Target 1	81.197	8,143.877
40	D4	MproN214A 25 uM	Target 1	84.737	6,700.814
40	D4	MproN214A 25 uM	Target 1	66.636	-3,265.387
40	D4	MproN214A 25 uM	Target 1	35.403	186.825
40	D4	MproN214A 25 uM	Target 1	26.553	173.209
41	D5	MproN214A 25 uM	Target 1	75.937	143.099
41	D5	MproN214A 25 uM	Target 1	63.921	1,771.395
41	D5	MproN214A 25 uM	Target 1	72.847	2,492.546
41	D5	MproN214A 25 uM	Target 1	80.629	1,364.123
41	D5	MproN214A 25 uM	Target 1	60.145	-370.394
42	D6	MproN214A 25 uM	Target 1	75.308	2,350.530
42	D6	MproN214A 25 uM	Target 1	71.932	1,415.501
