condition,transition_temperature
A4,53.468
A5,53.24
A6,53.24
B4,49.126
B5,49.126
B6,48.897
B7,49.24
B8,48.669
B9,48.783
B10,50.954
B11,50.726
B12,51.069
C4,51.297
C5,50.154
C6,50.383
C7,50.154
C8,50.269
C9,50.154
C10,52.326
C11,52.097
C12,52.211
D4,51.754
D5,51.754
D6,51.526
D7,51.526
D8,51.64
D9,51.411
D10,53.126
D11,52.897
D12,52.897
E4,52.897
E5,52.668
E6,52.211
E7,52.211
E8,52.44
E9,52.668
E10,53.811
E11,53.811
E12,53.925
F4,53.354
F5,52.897
F6,52.897
F7,53.24
F8,52.897
F9,53.126
F10,54.497
F11,54.383
F12,54.383
G4,53.24
G5,53.126
G6,53.126
G7,53.468
G8,53.24
G9,53.24
G10,54.383
G11,54.383
G12,54.383
H4,53.24
H5,53.126
H6,53.126
H7,53.925
H8,53.468
H9,53.468
H10,54.154
H11,54.268
H12,54.268
